  
       XFOIL         Version 6.99
  
 Calculated polar for: kc135c.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0380   0.00622   0.00106  -0.0274   0.6733   0.0149
  -1.500   0.0169   0.00607   0.00089  -0.0273   0.6566   0.0205
  -1.000   0.0722   0.00596   0.00078  -0.0272   0.6400   0.0275
  -0.500   0.1276   0.00585   0.00069  -0.0271   0.6267   0.0441
   0.000   0.1686   0.00434   0.00046  -0.0248   0.6129   0.5297
   0.500   0.2209   0.00406   0.00046  -0.0242   0.5986   0.6415
   1.000   0.2765   0.00407   0.00048  -0.0242   0.5799   0.6675
   1.500   0.3314   0.00414   0.00053  -0.0240   0.5527   0.6895
   2.000   0.3846   0.00430   0.00061  -0.0236   0.5042   0.7171
   2.500   0.4346   0.00477   0.00079  -0.0227   0.4103   0.7345
   3.000   0.4832   0.00534   0.00104  -0.0215   0.3062   0.7556
   3.500   0.5323   0.00581   0.00129  -0.0205   0.2275   0.7836
   4.000   0.5835   0.00602   0.00150  -0.0197   0.1967   0.8213
   4.500   0.6329   0.00622   0.00172  -0.0185   0.1656   0.8699
   5.000   0.6784   0.00657   0.00205  -0.0165   0.1162   0.9315
   5.500   0.7364   0.00744   0.00266  -0.0177   0.0431   0.9753
   6.000   0.8063   0.00801   0.00313  -0.0214   0.0244   0.9860
   6.500   0.8710   0.00847   0.00356  -0.0239   0.0188   0.9920
   7.000   0.9321   0.00896   0.00402  -0.0255   0.0143   0.9970
   7.500   0.9951   0.00951   0.00454  -0.0277   0.0103   0.9994
   8.000   1.0453   0.01011   0.00513  -0.0270   0.0076   1.0000
   8.500   1.0881   0.01061   0.00566  -0.0247   0.0070   1.0000
   9.000   1.1302   0.01122   0.00629  -0.0222   0.0063   1.0000
   9.500   1.1707   0.01200   0.00713  -0.0196   0.0055   1.0000
  10.000   1.2103   0.01286   0.00808  -0.0169   0.0051   1.0000
