  
       XFOIL         Version 6.99
  
 Calculated polar for: l188root.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0456   0.00570   0.00104  -0.0616   0.7040   0.1688
  -1.500   0.1028   0.00540   0.00093  -0.0620   0.6928   0.2396
  -1.000   0.1588   0.00489   0.00081  -0.0622   0.6812   0.3738
  -0.500   0.2137   0.00449   0.00074  -0.0622   0.6539   0.5168
   0.000   0.2711   0.00445   0.00075  -0.0625   0.6278   0.5677
   0.500   0.3292   0.00447   0.00078  -0.0629   0.6065   0.5991
   1.000   0.3872   0.00452   0.00083  -0.0633   0.5840   0.6269
   1.500   0.4446   0.00463   0.00091  -0.0636   0.5559   0.6530
   2.000   0.5011   0.00478   0.00103  -0.0637   0.5202   0.6881
   3.000   0.6032   0.00608   0.00162  -0.0621   0.3218   0.7174
   4.000   0.7065   0.00725   0.00226  -0.0608   0.1842   0.7427
   4.500   0.7592   0.00771   0.00257  -0.0603   0.1454   0.7564
   5.000   0.8123   0.00812   0.00288  -0.0599   0.1183   0.7696
   5.500   0.8651   0.00851   0.00320  -0.0594   0.0981   0.7840
   6.000   0.9174   0.00891   0.00355  -0.0588   0.0820   0.8005
   6.500   0.9696   0.00928   0.00390  -0.0582   0.0708   0.8186
   7.000   1.0204   0.00965   0.00429  -0.0574   0.0610   0.8490
   7.500   1.0651   0.00983   0.00473  -0.0550   0.0537   0.9583
   8.000   1.1223   0.01032   0.00519  -0.0557   0.0471   1.0000
   8.500   1.1702   0.01083   0.00566  -0.0544   0.0417   1.0000
   9.000   1.2174   0.01136   0.00616  -0.0529   0.0377   1.0000
   9.500   1.2622   0.01191   0.00669  -0.0511   0.0344   1.0000
  10.000   1.3028   0.01251   0.00728  -0.0484   0.0315   1.0000
