  
       XFOIL         Version 6.99
  
 Calculated polar for: la5055.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2207   0.00792   0.00259  -0.0683   0.4784   0.0342
  -1.500   0.2803   0.00772   0.00239  -0.0684   0.4758   0.0344
  -1.000   0.3393   0.00740   0.00205  -0.0686   0.4716   0.0348
  -0.500   0.3977   0.00728   0.00182  -0.0687   0.4468   0.0357
   0.000   0.4555   0.00751   0.00191  -0.0688   0.4136   0.0364
   0.500   0.5148   0.00747   0.00187  -0.0691   0.4075   0.0371
   1.000   0.5738   0.00749   0.00187  -0.0693   0.3995   0.0376
   1.500   0.6331   0.00746   0.00185  -0.0696   0.3943   0.0381
   2.000   0.6914   0.00761   0.00194  -0.0699   0.3772   0.0384
   2.500   0.7441   0.00851   0.00252  -0.0697   0.3023   0.0396
   3.000   0.8015   0.00871   0.00271  -0.0698   0.2903   0.0411
   4.000   0.9079   0.01007   0.00372  -0.0695   0.2019   0.0452
   4.500   0.9634   0.01034   0.00403  -0.0696   0.1930   0.0660
   5.000   1.0169   0.01035   0.00443  -0.0695   0.1828   0.2939
   6.000   1.1057   0.01231   0.00635  -0.0674   0.1078   0.4631
   6.500   1.1522   0.01256   0.00699  -0.0665   0.1037   0.6556
   7.000   1.2094   0.01265   0.00783  -0.0679   0.1002   0.9960
   7.500   1.2557   0.01373   0.00889  -0.0677   0.0944   1.0000
   8.000   1.2922   0.01626   0.01143  -0.0684   0.0860   1.0000
   8.500   1.2412   0.02553   0.02077  -0.0665   0.0640   1.0000
   9.000   1.2370   0.03000   0.02526  -0.0642   0.0563   1.0000
   9.500   1.2447   0.03357   0.02883  -0.0623   0.0510   1.0000
  10.000   1.2639   0.03646   0.03174  -0.0609   0.0500   1.0000
