  
       XFOIL         Version 6.99
  
 Calculated polar for: lds2.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0351   0.00594   0.00094  -0.0495   0.6513   0.0888
  -1.500   0.0869   0.00538   0.00076  -0.0487   0.6382   0.2187
  -1.000   0.1382   0.00488   0.00064  -0.0478   0.6215   0.3623
  -0.500   0.1917   0.00467   0.00060  -0.0472   0.5996   0.4454
   0.000   0.2460   0.00452   0.00061  -0.0467   0.5832   0.5178
   0.500   0.3007   0.00450   0.00063  -0.0463   0.5591   0.5649
   1.000   0.3557   0.00457   0.00067  -0.0459   0.5317   0.5898
   1.500   0.4102   0.00465   0.00074  -0.0455   0.5011   0.6223
   2.000   0.4609   0.00493   0.00087  -0.0444   0.4357   0.6618
   2.500   0.5099   0.00527   0.00107  -0.0430   0.3649   0.7102
   3.000   0.5560   0.00565   0.00133  -0.0410   0.2848   0.7796
   3.500   0.5994   0.00582   0.00159  -0.0383   0.2278   0.8878
   4.000   0.6504   0.00616   0.00190  -0.0372   0.1786   0.9603
   4.500   0.7250   0.00666   0.00223  -0.0416   0.1402   0.9775
   5.000   0.7880   0.00716   0.00256  -0.0434   0.1100   0.9861
   5.500   0.8472   0.00762   0.00289  -0.0443   0.0884   0.9925
   6.000   0.9108   0.00805   0.00323  -0.0462   0.0740   0.9963
   6.500   0.9746   0.00848   0.00358  -0.0481   0.0632   0.9986
   7.000   1.0379   0.00893   0.00397  -0.0500   0.0545   0.9999
   7.500   1.0823   0.00933   0.00433  -0.0477   0.0489   1.0000
   8.000   1.1244   0.00975   0.00472  -0.0450   0.0445   1.0000
   9.000   1.2086   0.01066   0.00560  -0.0396   0.0366   1.0000
   9.500   1.2507   0.01116   0.00609  -0.0371   0.0330   1.0000
  10.000   1.2917   0.01170   0.00662  -0.0344   0.0297   1.0000
