  
       XFOIL         Version 6.99
  
 Calculated polar for: lrn1015.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3756   0.00623   0.00121  -0.1075   0.6524   0.0168
  -1.500   0.4335   0.00608   0.00110  -0.1079   0.6492   0.0232
   0.000   0.5934   0.00421   0.00086  -0.1074   0.6281   0.6526
   0.500   0.6490   0.00408   0.00093  -0.1074   0.6194   0.7501
   1.000   0.7069   0.00413   0.00098  -0.1078   0.6102   0.7711
   1.500   0.7650   0.00422   0.00105  -0.1083   0.6009   0.7810
   2.000   0.8216   0.00433   0.00113  -0.1085   0.5854   0.7901
   2.500   0.8774   0.00452   0.00125  -0.1086   0.5657   0.7967
   3.000   0.9302   0.00481   0.00143  -0.1082   0.5343   0.8036
   3.500   0.9794   0.00525   0.00170  -0.1071   0.4913   0.8103
   4.500   1.0538   0.00699   0.00277  -0.1005   0.3410   0.8221
   5.000   1.0927   0.00766   0.00324  -0.0976   0.2943   0.8280
   6.000   1.1650   0.00886   0.00417  -0.0908   0.2281   0.8414
   6.500   1.1895   0.00945   0.00468  -0.0850   0.2052   0.8481
   7.000   1.2126   0.01015   0.00532  -0.0793   0.1845   0.8583
   7.500   1.2351   0.01095   0.00611  -0.0739   0.1686   0.8692
   8.000   1.2532   0.01210   0.00727  -0.0686   0.1542   0.8865
   8.500   1.2731   0.01327   0.00858  -0.0638   0.1405   0.9494
   9.000   1.3651   0.01463   0.00989  -0.0744   0.1216   0.9859
