  
       XFOIL         Version 6.99
  
 Calculated polar for: ls421mod.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3057   0.00584   0.00178  -0.0959   0.4889   0.5563
  -1.500   0.3702   0.00592   0.00182  -0.0974   0.4719   0.5715
  -1.000   0.4340   0.00605   0.00188  -0.0988   0.4528   0.5825
  -0.500   0.4980   0.00617   0.00196  -0.1002   0.4338   0.5955
   0.000   0.5610   0.00636   0.00205  -0.1014   0.4129   0.6019
   0.500   0.6240   0.00655   0.00217  -0.1027   0.3921   0.6107
   1.000   0.6868   0.00674   0.00230  -0.1039   0.3747   0.6202
   1.500   0.7489   0.00696   0.00243  -0.1049   0.3583   0.6233
   2.000   0.8112   0.00717   0.00259  -0.1061   0.3407   0.6314
   2.500   0.8728   0.00743   0.00277  -0.1071   0.3219   0.6373
   3.000   0.9329   0.00780   0.00301  -0.1079   0.2960   0.6419
   3.500   0.9924   0.00820   0.00328  -0.1086   0.2695   0.6467
   4.000   1.0515   0.00861   0.00359  -0.1092   0.2454   0.6533
   4.500   1.1092   0.00910   0.00395  -0.1096   0.2194   0.6585
   5.000   1.1652   0.00969   0.00437  -0.1097   0.1924   0.6623
   5.500   1.2215   0.01018   0.00475  -0.1098   0.1739   0.6651
   6.000   1.2776   0.01066   0.00516  -0.1099   0.1589   0.6721
   6.500   1.3331   0.01111   0.00557  -0.1099   0.1483   0.6774
   7.000   1.3871   0.01161   0.00602  -0.1097   0.1384   0.6812
   7.500   1.4401   0.01212   0.00647  -0.1092   0.1306   0.6837
   8.000   1.4921   0.01262   0.00694  -0.1086   0.1234   0.6863
   8.500   1.5417   0.01318   0.00748  -0.1076   0.1165   0.6930
   9.000   1.5890   0.01376   0.00806  -0.1062   0.1113   0.6978
   9.500   1.6328   0.01438   0.00868  -0.1042   0.1065   0.7017
  10.000   1.6676   0.01511   0.00940  -0.1005   0.1025   0.7045
