  
       XFOIL         Version 6.99
  
 Calculated polar for: lwk80150k25.dat                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2130   0.00436   0.00085  -0.0025   0.7169   0.5260
  -1.500  -0.1662   0.00397   0.00070  -0.0006   0.7076   0.6096
  -1.000  -0.1116   0.00382   0.00065  -0.0003   0.7008   0.6431
  -0.500  -0.0566   0.00377   0.00063   0.0000   0.6908   0.6643
   0.000   0.0002   0.00374   0.00062  -0.0000   0.6817   0.6800
   0.500   0.0568   0.00376   0.00063  -0.0001   0.6667   0.6907
   1.000   0.1114   0.00383   0.00065   0.0003   0.6417   0.7012
   1.500   0.1662   0.00397   0.00070   0.0006   0.6093   0.7078
   2.000   0.2145   0.00430   0.00084   0.0022   0.5366   0.7167
   2.500   0.2544   0.00506   0.00112   0.0053   0.4015   0.7218
   3.000   0.2989   0.00566   0.00137   0.0075   0.3070   0.7246
   3.500   0.3424   0.00624   0.00163   0.0098   0.2183   0.7292
   4.000   0.3890   0.00667   0.00188   0.0116   0.1634   0.7339
   4.500   0.4367   0.00708   0.00213   0.0131   0.1247   0.7376
   5.000   0.4849   0.00747   0.00239   0.0145   0.0963   0.7405
   5.500   0.5338   0.00782   0.00265   0.0158   0.0789   0.7428
   6.000   0.5808   0.00818   0.00294   0.0174   0.0626   0.7484
   6.500   0.6285   0.00852   0.00324   0.0189   0.0527   0.7527
   7.000   0.6755   0.00890   0.00358   0.0204   0.0443   0.7563
   7.500   0.7216   0.00931   0.00394   0.0221   0.0375   0.7588
   8.000   0.7645   0.00969   0.00431   0.0244   0.0325   0.7634
   8.500   0.8096   0.01017   0.00478   0.0261   0.0276   0.7688
   9.000   0.8579   0.01072   0.00531   0.0270   0.0238   0.7729
   9.500   0.9078   0.01135   0.00593   0.0273   0.0204   0.7758
  10.000   0.9634   0.01199   0.00657   0.0264   0.0187   0.7798
