  
       XFOIL         Version 6.99
  
 Calculated polar for: m18.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.0551   0.00733   0.00150  -0.0231   0.4971   0.0018
  -1.000   0.1129   0.00725   0.00137  -0.0234   0.4790   0.0013
   0.000   0.2280   0.00703   0.00117  -0.0239   0.4486   0.0218
   0.500   0.2859   0.00700   0.00117  -0.0244   0.4350   0.0299
   1.000   0.3437   0.00695   0.00112  -0.0247   0.4227   0.0382
   1.500   0.4010   0.00681   0.00111  -0.0251   0.4137   0.0861
   2.000   0.4582   0.00670   0.00115  -0.0254   0.4039   0.1518
   2.500   0.5142   0.00638   0.00121  -0.0257   0.3987   0.3201
   3.000   0.5517   0.00499   0.00131  -0.0222   0.3674   0.9296
   3.500   0.6005   0.00590   0.00177  -0.0211   0.2568   0.9606
   4.000   0.6379   0.00814   0.00302  -0.0184   0.0013   0.9761
   4.500   0.6976   0.00849   0.00333  -0.0194   0.0014   0.9853
   5.000   0.7598   0.00888   0.00367  -0.0211   0.0017   0.9896
   5.500   0.8219   0.00927   0.00401  -0.0228   0.0022   0.9913
   6.000   0.8838   0.00964   0.00436  -0.0246   0.0029   0.9920
   6.500   0.9450   0.01009   0.00480  -0.0262   0.0030   0.9927
   7.000   1.0047   0.01066   0.00538  -0.0277   0.0028   0.9935
   7.500   1.0619   0.01148   0.00624  -0.0288   0.0022   0.9945
