  
       XFOIL         Version 6.99
  
 Calculated polar for: marske7.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1708   0.00701   0.00163   0.0168   0.6375   0.0164
  -1.500  -0.1125   0.00680   0.00145   0.0162   0.6359   0.0217
  -1.000  -0.0540   0.00659   0.00130   0.0156   0.6340   0.0329
  -0.500   0.0041   0.00632   0.00117   0.0150   0.6319   0.0696
   0.500   0.1155   0.00499   0.00095   0.0143   0.6250   0.4591
   1.000   0.1615   0.00342   0.00082   0.0160   0.6227   0.9084
   1.500   0.2157   0.00345   0.00094   0.0166   0.6196   0.9521
   2.000   0.2695   0.00354   0.00102   0.0173   0.6129   0.9641
   2.500   0.3207   0.00369   0.00116   0.0186   0.6055   0.9753
   3.000   0.3811   0.00373   0.00119   0.0176   0.5984   0.9789
   3.500   0.4424   0.00378   0.00122   0.0161   0.5880   0.9802
   4.000   0.5035   0.00386   0.00126   0.0147   0.5708   0.9813
   4.500   0.5647   0.00434   0.00147   0.0128   0.4966   0.9825
   5.000   0.6252   0.00549   0.00209   0.0104   0.3572   0.9835
   5.500   0.6845   0.00643   0.00263   0.0083   0.2566   0.9847
   6.000   0.7425   0.00738   0.00321   0.0064   0.1729   0.9859
   6.500   0.7995   0.00818   0.00376   0.0049   0.1191   0.9872
   7.000   0.8547   0.00901   0.00437   0.0037   0.0765   0.9882
   7.500   0.9095   0.00972   0.00495   0.0026   0.0520   0.9893
   8.000   0.9673   0.01043   0.00556   0.0008   0.0353   0.9908
   8.500   1.0258   0.01119   0.00626  -0.0014   0.0249   0.9918
   9.000   1.0828   0.01204   0.00706  -0.0034   0.0171   0.9927
   9.500   1.1385   0.01297   0.00797  -0.0053   0.0122   0.9937
  10.000   1.1941   0.01416   0.00916  -0.0080   0.0092   0.9950
