  
       XFOIL         Version 6.99
  
 Calculated polar for: mh201.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2524   0.00448   0.00074  -0.1091   0.7038   0.4145
  -1.500   0.3108   0.00420   0.00067  -0.1099   0.6890   0.5107
  -1.000   0.3689   0.00403   0.00064  -0.1105   0.6706   0.5930
  -0.500   0.4266   0.00402   0.00066  -0.1109   0.6470   0.6388
   0.000   0.4828   0.00416   0.00072  -0.1110   0.6122   0.6634
   0.500   0.5379   0.00440   0.00082  -0.1109   0.5685   0.6798
   1.000   0.5926   0.00468   0.00094  -0.1106   0.5247   0.6911
   1.500   0.6464   0.00502   0.00111  -0.1103   0.4744   0.7012
   2.000   0.6995   0.00539   0.00129  -0.1098   0.4239   0.7110
   2.500   0.7524   0.00579   0.00150  -0.1093   0.3750   0.7179
   3.000   0.8049   0.00619   0.00172  -0.1087   0.3296   0.7231
   3.500   0.8576   0.00657   0.00196  -0.1082   0.2903   0.7291
   4.000   0.9094   0.00700   0.00223  -0.1075   0.2517   0.7340
   4.500   0.9613   0.00741   0.00251  -0.1069   0.2192   0.7401
   5.000   1.0126   0.00784   0.00283  -0.1061   0.1891   0.7452
   5.500   1.0632   0.00830   0.00317  -0.1052   0.1610   0.7490
   6.000   1.1132   0.00879   0.00354  -0.1042   0.1362   0.7517
   6.500   1.1630   0.00925   0.00393  -0.1032   0.1164   0.7573
   7.000   1.2111   0.00979   0.00438  -0.1019   0.0955   0.7618
   7.500   1.2582   0.01037   0.00487  -0.1004   0.0779   0.7655
   8.000   1.3041   0.01097   0.00540  -0.0987   0.0633   0.7695
   8.500   1.3489   0.01158   0.00596  -0.0968   0.0506   0.7751
   9.000   1.3923   0.01220   0.00656  -0.0947   0.0418   0.7800
   9.500   1.4297   0.01286   0.00719  -0.0914   0.0340   0.7847
  10.000   1.4651   0.01359   0.00792  -0.0878   0.0273   0.7917
