  
       XFOIL         Version 6.99
  
 Calculated polar for: mh44.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1398   0.00569   0.00080  -0.0055   0.6312   0.1375
  -1.500  -0.0856   0.00539   0.00066  -0.0051   0.5993   0.2169
  -1.000  -0.0312   0.00515   0.00057  -0.0047   0.5649   0.2992
  -0.500   0.0232   0.00497   0.00051  -0.0043   0.5299   0.3800
   0.000   0.0783   0.00490   0.00049  -0.0040   0.4955   0.4411
   0.500   0.1330   0.00482   0.00050  -0.0037   0.4632   0.5107
   1.000   0.1872   0.00473   0.00053  -0.0032   0.4318   0.5889
   1.500   0.2405   0.00462   0.00057  -0.0026   0.4000   0.6843
   2.000   0.2904   0.00443   0.00065  -0.0012   0.3684   0.8117
   2.500   0.3675   0.00426   0.00079  -0.0059   0.3305   0.9647
   3.000   0.4419   0.00460   0.00098  -0.0100   0.2908   0.9838
   3.500   0.5071   0.00494   0.00117  -0.0121   0.2529   0.9912
   4.000   0.5726   0.00532   0.00139  -0.0142   0.2140   0.9949
   4.500   0.6432   0.00569   0.00160  -0.0176   0.1772   0.9972
   5.000   0.7113   0.00611   0.00186  -0.0205   0.1399   0.9991
   5.500   0.7735   0.00654   0.00215  -0.0220   0.1089   1.0000
   6.000   0.8237   0.00712   0.00255  -0.0210   0.0729   1.0000
   6.500   0.8742   0.00765   0.00296  -0.0200   0.0508   1.0000
   7.000   0.9246   0.00817   0.00340  -0.0190   0.0359   1.0000
   7.500   0.9742   0.00878   0.00394  -0.0178   0.0220   1.0000
   8.000   1.0237   0.00936   0.00448  -0.0167   0.0145   1.0000
   8.500   1.0721   0.01003   0.00511  -0.0154   0.0087   1.0000
   9.000   1.1209   0.01065   0.00574  -0.0142   0.0064   1.0000
   9.500   1.1661   0.01167   0.00673  -0.0125   0.0011   1.0000
  10.000   1.2121   0.01255   0.00768  -0.0110   0.0004   1.0000
