  
       XFOIL         Version 6.99
  
 Calculated polar for: n14.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1645   0.00608   0.00117  -0.0130   0.7556   0.1048
  -1.500  -0.1125   0.00601   0.00107  -0.0119   0.7294   0.1109
  -1.000  -0.0636   0.00608   0.00099  -0.0102   0.6703   0.1144
   0.000   0.0216   0.00620   0.00089  -0.0045   0.4731   0.2372
   0.500   0.0632   0.00634   0.00092  -0.0015   0.3629   0.3116
   1.500   0.1527   0.00595   0.00092   0.0033   0.2826   0.5233
   2.000   0.1979   0.00575   0.00095   0.0056   0.2551   0.6266
   2.500   0.2418   0.00578   0.00105   0.0083   0.2050   0.7082
   3.000   0.2862   0.00606   0.00124   0.0108   0.1420   0.7551
   3.500   0.3342   0.00623   0.00140   0.0127   0.1152   0.7906
   4.000   0.3814   0.00633   0.00157   0.0148   0.0991   0.8317
   4.500   0.4237   0.00671   0.00186   0.0178   0.0534   0.8704
   5.000   0.4717   0.00686   0.00209   0.0197   0.0488   0.9015
   5.500   0.5218   0.00707   0.00236   0.0212   0.0430   0.9288
   6.000   0.5836   0.00730   0.00266   0.0199   0.0412   0.9547
   6.500   0.6549   0.00776   0.00309   0.0164   0.0355   0.9712
   7.000   0.7245   0.00809   0.00341   0.0133   0.0342   0.9751
   7.500   0.7881   0.00847   0.00378   0.0115   0.0324   0.9793
   8.000   0.8430   0.00894   0.00422   0.0117   0.0291   0.9846
   8.500   0.9070   0.00934   0.00462   0.0099   0.0278   0.9861
   9.000   0.9694   0.00980   0.00504   0.0083   0.0246   0.9879
   9.500   1.0296   0.01029   0.00553   0.0072   0.0219   0.9903
  10.000   1.0826   0.01091   0.00611   0.0076   0.0177   0.9937
