  
       XFOIL         Version 6.99
  
 Calculated polar for: n63015a.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2303   0.00482   0.00080   0.0014   0.6220   0.4747
  -1.500  -0.1731   0.00470   0.00074   0.0011   0.6091   0.5032
  -1.000  -0.1155   0.00464   0.00070   0.0007   0.5950   0.5250
  -0.500  -0.0578   0.00461   0.00068   0.0004   0.5798   0.5450
   0.000   0.0000   0.00459   0.00067  -0.0000   0.5649   0.5641
   0.500   0.0577   0.00460   0.00068  -0.0004   0.5453   0.5811
   1.000   0.1153   0.00465   0.00070  -0.0007   0.5243   0.5954
   1.500   0.1730   0.00472   0.00074  -0.0011   0.5019   0.6086
   2.000   0.2305   0.00481   0.00079  -0.0014   0.4760   0.6214
   2.500   0.2874   0.00493   0.00087  -0.0017   0.4482   0.6366
   3.000   0.3426   0.00522   0.00101  -0.0016   0.3916   0.6501
   3.500   0.3954   0.00575   0.00125  -0.0012   0.3053   0.6626
   4.000   0.4458   0.00649   0.00161  -0.0005   0.1995   0.6776
   4.500   0.4966   0.00721   0.00201   0.0001   0.1131   0.6920
   5.000   0.5506   0.00766   0.00233   0.0003   0.0771   0.7054
   5.500   0.6045   0.00810   0.00267   0.0004   0.0502   0.7192
   6.000   0.6583   0.00851   0.00303   0.0006   0.0332   0.7353
   6.500   0.7125   0.00888   0.00339   0.0008   0.0246   0.7506
   7.000   0.7663   0.00928   0.00378   0.0010   0.0177   0.7664
   7.500   0.8195   0.00969   0.00421   0.0013   0.0133   0.7853
   8.000   0.8722   0.01009   0.00466   0.0016   0.0116   0.8086
   8.500   0.9243   0.01050   0.00514   0.0021   0.0106   0.8370
   9.000   0.9748   0.01094   0.00570   0.0029   0.0098   0.8748
   9.500   1.0243   0.01131   0.00621   0.0039   0.0094   0.9203
  10.000   1.0707   0.01175   0.00678   0.0056   0.0089   0.9712
