  
       XFOIL         Version 6.99
  
 Calculated polar for: n64215.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0568   0.00473   0.00071  -0.0383   0.5901   0.4680
  -1.500   0.0026   0.00465   0.00068  -0.0390   0.5805   0.4944
  -1.000   0.0620   0.00459   0.00066  -0.0397   0.5720   0.5179
  -0.500   0.1214   0.00457   0.00066  -0.0404   0.5619   0.5366
   0.000   0.1810   0.00460   0.00067  -0.0411   0.5523   0.5455
   0.500   0.2405   0.00460   0.00070  -0.0419   0.5423   0.5583
   1.000   0.2999   0.00466   0.00073  -0.0425   0.5302   0.5664
   1.500   0.3590   0.00470   0.00077  -0.0432   0.5154   0.5776
   2.500   0.4764   0.00493   0.00092  -0.0444   0.4745   0.5970
   3.000   0.5345   0.00510   0.00103  -0.0449   0.4461   0.6059
   3.500   0.5883   0.00567   0.00130  -0.0448   0.3619   0.6182
   4.000   0.6366   0.00677   0.00185  -0.0439   0.2221   0.6294
   4.500   0.6845   0.00782   0.00243  -0.0430   0.1076   0.6411
   5.000   0.7364   0.00842   0.00285  -0.0425   0.0626   0.6550
   5.500   0.7889   0.00893   0.00326  -0.0421   0.0385   0.6669
   6.000   0.8421   0.00933   0.00364  -0.0418   0.0288   0.6800
   6.500   0.8952   0.00971   0.00402  -0.0415   0.0241   0.6945
   7.000   0.9475   0.01010   0.00441  -0.0411   0.0207   0.7078
   7.500   0.9988   0.01053   0.00485  -0.0405   0.0174   0.7211
   8.000   1.0486   0.01099   0.00533  -0.0396   0.0143   0.7371
   8.500   1.0970   0.01148   0.00585  -0.0385   0.0123   0.7530
   9.000   1.1433   0.01203   0.00643  -0.0371   0.0106   0.7692
   9.500   1.1876   0.01260   0.00704  -0.0353   0.0097   0.7851
  10.000   1.2284   0.01322   0.00769  -0.0330   0.0083   0.8019
