  
       XFOIL         Version 6.99
  
 Calculated polar for: n642415.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1229   0.00477   0.00073  -0.0790   0.5925   0.4551
  -1.500   0.1824   0.00472   0.00071  -0.0798   0.5829   0.4822
  -1.000   0.2419   0.00468   0.00071  -0.0806   0.5742   0.5062
  -0.500   0.3012   0.00468   0.00073  -0.0813   0.5635   0.5305
   0.000   0.3608   0.00468   0.00075  -0.0820   0.5553   0.5459
   0.500   0.4200   0.00474   0.00079  -0.0827   0.5449   0.5555
   1.000   0.4793   0.00477   0.00083  -0.0834   0.5360   0.5666
   2.000   0.5970   0.00494   0.00097  -0.0846   0.5086   0.5853
   2.500   0.6550   0.00508   0.00107  -0.0851   0.4876   0.5955
   3.000   0.7126   0.00526   0.00119  -0.0855   0.4647   0.6058
   3.500   0.7694   0.00549   0.00135  -0.0858   0.4341   0.6176
   4.000   0.8178   0.00642   0.00183  -0.0848   0.3223   0.6285
   4.500   0.8649   0.00745   0.00241  -0.0836   0.2147   0.6401
   5.000   0.9118   0.00842   0.00301  -0.0823   0.1263   0.6533
   5.500   0.9613   0.00912   0.00352  -0.0815   0.0797   0.6661
   6.000   1.0109   0.00977   0.00403  -0.0806   0.0496   0.6793
   6.500   1.0606   0.01036   0.00455  -0.0798   0.0327   0.6933
   7.000   1.1110   0.01083   0.00502  -0.0790   0.0264   0.7084
   7.500   1.1604   0.01133   0.00553  -0.0781   0.0223   0.7231
   8.000   1.2091   0.01182   0.00604  -0.0770   0.0197   0.7379
   8.500   1.2556   0.01237   0.00661  -0.0757   0.0167   0.7531
   9.000   1.2989   0.01300   0.00726  -0.0737   0.0137   0.7692
   9.500   1.3371   0.01366   0.00797  -0.0709   0.0118   0.7877
  10.000   1.3674   0.01438   0.00875  -0.0666   0.0107   0.8084
