  
       XFOIL         Version 6.99
  
 Calculated polar for: n8h12.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.0383   0.00704   0.00121   0.0090   0.4554   0.0039
  -1.000   0.0191   0.00692   0.00108   0.0090   0.4490   0.0032
  -0.500   0.0764   0.00685   0.00099   0.0090   0.4389   0.0028
   0.000   0.1341   0.00675   0.00092   0.0089   0.4351   0.0025
   0.500   0.1916   0.00668   0.00086   0.0088   0.4291   0.0024
   1.000   0.2489   0.00663   0.00084   0.0087   0.4207   0.0146
   1.500   0.3040   0.00623   0.00082   0.0090   0.4181   0.1499
   2.000   0.3346   0.00418   0.00078   0.0139   0.4141   0.8704
   2.500   0.4149   0.00418   0.00103   0.0089   0.4077   0.9793
   3.000   0.4966   0.00442   0.00123   0.0034   0.4014   0.9854
   3.500   0.5581   0.00460   0.00140   0.0024   0.3968   0.9900
   4.000   0.6293   0.00476   0.00150  -0.0009   0.3866   0.9914
   4.500   0.6965   0.00486   0.00157  -0.0034   0.3750   0.9922
   5.000   0.7574   0.00607   0.00214  -0.0056   0.2402   0.9933
   5.500   0.8145   0.00850   0.00357  -0.0082   0.0330   0.9949
   6.000   0.8756   0.00934   0.00425  -0.0101   0.0000   0.9962
   6.500   0.9369   0.00977   0.00464  -0.0118   0.0000   0.9975
   7.000   0.9974   0.01024   0.00510  -0.0134   0.0000   0.9985
   7.500   1.0575   0.01077   0.00561  -0.0150   0.0000   0.9994
   8.000   1.1162   0.01135   0.00619  -0.0164   0.0000   1.0000
   8.500   1.1631   0.01199   0.00684  -0.0155   0.0000   1.0000
   9.000   1.2086   0.01269   0.00757  -0.0144   0.0000   1.0000
   9.500   1.2520   0.01344   0.00833  -0.0130   0.0001   1.0000
  10.000   1.2929   0.01428   0.00918  -0.0114   0.0001   1.0000
