  
       XFOIL         Version 6.99
  
 Calculated polar for: naca2418.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0233   0.00649   0.00140  -0.0511   0.5257   0.2517
  -1.000   0.1391   0.00645   0.00135  -0.0513   0.4878   0.2882
  -0.500   0.1973   0.00639   0.00134  -0.0515   0.4745   0.3130
   0.000   0.2550   0.00634   0.00134  -0.0515   0.4588   0.3425
   0.500   0.3122   0.00629   0.00135  -0.0516   0.4431   0.3821
   1.000   0.3687   0.00618   0.00138  -0.0515   0.4279   0.4435
   1.500   0.4257   0.00615   0.00144  -0.0515   0.4117   0.4937
   2.000   0.4823   0.00618   0.00152  -0.0514   0.3923   0.5368
   2.500   0.5382   0.00630   0.00164  -0.0512   0.3664   0.5736
   3.000   0.5943   0.00642   0.00177  -0.0511   0.3450   0.6086
   3.500   0.6502   0.00656   0.00192  -0.0509   0.3248   0.6432
   4.000   0.7056   0.00671   0.00209  -0.0506   0.3049   0.6811
   4.500   0.7597   0.00692   0.00230  -0.0501   0.2816   0.7239
   5.000   0.8128   0.00715   0.00255  -0.0494   0.2559   0.7713
   5.500   0.8644   0.00747   0.00286  -0.0485   0.2283   0.8151
   6.000   0.9165   0.00775   0.00315  -0.0476   0.2084   0.8570
   6.500   0.9667   0.00803   0.00348  -0.0463   0.1909   0.9069
   7.000   1.0157   0.00835   0.00382  -0.0447   0.1760   0.9425
   7.500   1.0617   0.00881   0.00422  -0.0425   0.1570   0.9669
   8.000   1.1095   0.00939   0.00469  -0.0410   0.1350   0.9856
   8.500   1.1654   0.01003   0.00522  -0.0413   0.1169   0.9949
   9.000   1.2262   0.01065   0.00576  -0.0428   0.1046   0.9988
   9.500   1.2595   0.01115   0.00621  -0.0384   0.0958   1.0000
  10.000   1.2957   0.01174   0.00676  -0.0349   0.0869   1.0000
