  
       XFOIL         Version 6.99
  
 Calculated polar for: naca63206.dat                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.0330   0.00853   0.00330  -0.0291   0.5293   0.0419
  -1.000   0.0230   0.00795   0.00324  -0.0294   0.5274   0.2325
  -0.500   0.0789   0.00733   0.00324  -0.0298   0.5239   0.4607
   0.000   0.1345   0.00710   0.00337  -0.0299   0.5170   0.5998
   0.500   0.1868   0.00787   0.00439  -0.0293   0.4807   0.6870
   1.000   0.2459   0.00698   0.00297  -0.0299   0.3037   0.7611
   1.500   0.3031   0.00676   0.00238  -0.0302   0.1597   0.8087
   2.000   0.3594   0.00682   0.00221  -0.0303   0.0621   0.8405
   2.500   0.4149   0.00697   0.00230  -0.0301   0.0200   0.8710
   4.000   0.5770   0.00746   0.00315  -0.0284   0.0071   1.0000
   4.500   0.6326   0.00774   0.00326  -0.0284   0.0022   1.0000
   5.500   0.7386   0.01007   0.00620  -0.0268   0.0019   1.0000
   6.000   0.7788   0.01566   0.01249  -0.0234   0.0021   1.0000
