  
       XFOIL         Version 6.99
  
 Calculated polar for: naca633218.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0727   0.00669   0.00161  -0.0347   0.2802   0.4591
  -1.500  -0.0124   0.00666   0.00159  -0.0356   0.2794   0.4726
  -1.000   0.0479   0.00664   0.00158  -0.0364   0.2784   0.4876
  -0.500   0.1083   0.00663   0.00158  -0.0372   0.2771   0.4984
   0.000   0.1685   0.00666   0.00159  -0.0380   0.2750   0.5078
   0.500   0.2287   0.00669   0.00162  -0.0388   0.2731   0.5172
   1.000   0.2892   0.00667   0.00163  -0.0397   0.2711   0.5282
   1.500   0.3462   0.00703   0.00176  -0.0401   0.2118   0.5369
   2.000   0.4042   0.00726   0.00197  -0.0405   0.1985   0.5475
   2.500   0.4632   0.00740   0.00211  -0.0412   0.1946   0.5549
   3.000   0.5220   0.00753   0.00227  -0.0418   0.1918   0.5655
   3.500   0.5801   0.00773   0.00247  -0.0422   0.1868   0.5737
   4.000   0.6385   0.00788   0.00264  -0.0428   0.1833   0.5842
   4.500   0.6968   0.00803   0.00281  -0.0433   0.1789   0.5923
   5.000   0.7541   0.00824   0.00303  -0.0437   0.1726   0.6035
   5.500   0.8120   0.00841   0.00322  -0.0441   0.1702   0.6120
   6.000   0.8688   0.00862   0.00344  -0.0444   0.1607   0.6244
   6.500   0.9222   0.00908   0.00376  -0.0442   0.1289   0.6329
   7.000   0.9716   0.00978   0.00430  -0.0434   0.0926   0.6456
   7.500   1.0205   0.01044   0.00486  -0.0425   0.0670   0.6565
   8.000   1.0674   0.01116   0.00547  -0.0414   0.0467   0.6674
   8.500   1.1141   0.01177   0.00606  -0.0401   0.0367   0.6806
   9.000   1.1596   0.01236   0.00664  -0.0387   0.0316   0.6918
   9.500   1.2031   0.01292   0.00724  -0.0369   0.0289   0.7055
  10.000   1.2376   0.01351   0.00787  -0.0335   0.0271   0.7194
