  
       XFOIL         Version 6.99
  
 Calculated polar for: naca63a210.dat                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0818   0.00862   0.00304  -0.0330   0.4314   0.1492
  -1.000   0.0270   0.00759   0.00284  -0.0330   0.4307   0.4300
  -0.500   0.0820   0.00728   0.00285  -0.0330   0.4289   0.5445
   0.000   0.1383   0.00719   0.00291  -0.0331   0.4260   0.5989
   0.500   0.1951   0.00715   0.00296  -0.0333   0.4231   0.6383
   1.000   0.2519   0.00714   0.00304  -0.0335   0.4194   0.6709
   1.500   0.3081   0.00732   0.00327  -0.0336   0.4152   0.6954
   2.000   0.3628   0.00788   0.00390  -0.0334   0.4050   0.7153
   2.500   0.4203   0.00774   0.00332  -0.0337   0.2876   0.7355
   3.000   0.4779   0.00750   0.00264  -0.0341   0.1646   0.7558
   3.500   0.5329   0.00772   0.00259  -0.0341   0.0766   0.7761
   4.000   0.5881   0.00793   0.00272  -0.0340   0.0383   0.7997
   4.500   0.6426   0.00815   0.00295  -0.0338   0.0195   0.8332
   5.000   0.6923   0.00819   0.00327  -0.0324   0.0126   0.9426
   5.500   0.7602   0.00858   0.00375  -0.0351   0.0095   0.9973
   6.000   0.8158   0.00902   0.00424  -0.0352   0.0091   1.0000
   6.500   0.8679   0.00949   0.00476  -0.0344   0.0089   1.0000
   7.000   0.9197   0.01004   0.00537  -0.0337   0.0087   1.0000
   7.500   0.9718   0.01058   0.00594  -0.0331   0.0084   1.0000
   8.000   1.0231   0.01122   0.00665  -0.0323   0.0081   1.0000
   8.500   1.0744   0.01186   0.00732  -0.0317   0.0076   1.0000
   9.000   1.1262   0.01241   0.00788  -0.0311   0.0071   1.0000
   9.500   1.1670   0.01422   0.00994  -0.0288   0.0060   1.0000
  10.000   1.2189   0.01470   0.01042  -0.0283   0.0059   1.0000
