  
       XFOIL         Version 6.99
  
 Calculated polar for: naca652415a05.dat                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0885   0.00628   0.00112  -0.0579   0.6111   0.0886
  -1.500   0.1432   0.00566   0.00094  -0.0582   0.6064   0.2388
  -1.000   0.1969   0.00490   0.00078  -0.0584   0.6021   0.4434
  -0.500   0.2538   0.00452   0.00073  -0.0590   0.5998   0.5539
   0.000   0.3119   0.00436   0.00073  -0.0597   0.5965   0.6123
   0.500   0.3703   0.00428   0.00076  -0.0604   0.5924   0.6580
   1.000   0.4289   0.00429   0.00081  -0.0611   0.5871   0.6832
   1.500   0.4883   0.00427   0.00084  -0.0621   0.5844   0.6990
   2.000   0.5474   0.00429   0.00089  -0.0629   0.5774   0.7126
   2.500   0.6062   0.00434   0.00095  -0.0637   0.5693   0.7258
   3.000   0.6651   0.00437   0.00102  -0.0646   0.5623   0.7399
   3.500   0.7232   0.00446   0.00111  -0.0653   0.5471   0.7534
   4.000   0.7782   0.00478   0.00129  -0.0655   0.5003   0.7691
   4.500   0.8230   0.00581   0.00186  -0.0641   0.3833   0.7855
   5.000   0.8626   0.00704   0.00259  -0.0619   0.2613   0.8026
   6.000   0.9332   0.00926   0.00410  -0.0558   0.0847   0.8418
   6.500   0.9670   0.01008   0.00479  -0.0524   0.0447   0.8644
   7.000   0.9921   0.01073   0.00544  -0.0470   0.0270   0.8936
   7.500   1.0153   0.01135   0.00615  -0.0415   0.0214   0.9350
   9.500   1.1634   0.01534   0.01023  -0.0345   0.0112   1.0000
  10.000   1.1971   0.01649   0.01141  -0.0325   0.0109   1.0000
