  
       XFOIL         Version 6.99
  
 Calculated polar for: naca747a415.dat                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.0739   0.00646   0.00117  -0.0304   0.5174   0.1480
   0.000   0.2316   0.00439   0.00080  -0.0299   0.5035   0.7343
   0.500   0.2905   0.00436   0.00085  -0.0305   0.5015   0.7717
   1.000   0.3497   0.00439   0.00091  -0.0312   0.4983   0.7902
   1.500   0.4086   0.00448   0.00099  -0.0319   0.4930   0.8019
   2.000   0.4677   0.00457   0.00107  -0.0327   0.4876   0.8088
   2.500   0.5272   0.00460   0.00113  -0.0335   0.4850   0.8141
   3.000   0.5862   0.00469   0.00120  -0.0344   0.4779   0.8172
   3.500   0.6452   0.00480   0.00129  -0.0352   0.4708   0.8199
   4.000   0.7040   0.00491   0.00138  -0.0360   0.4603   0.8214
   4.500   0.7626   0.00500   0.00147  -0.0368   0.4494   0.8247
   5.000   0.8193   0.00523   0.00163  -0.0373   0.4246   0.8281
   5.500   0.8628   0.00646   0.00230  -0.0359   0.3012   0.8315
   6.000   0.9033   0.00776   0.00310  -0.0339   0.1905   0.8346
   6.500   0.9445   0.00884   0.00383  -0.0321   0.1167   0.8374
   7.000   0.9862   0.00972   0.00449  -0.0302   0.0716   0.8407
   7.500   1.0227   0.01066   0.00526  -0.0275   0.0357   0.8464
   8.000   1.0623   0.01132   0.00588  -0.0252   0.0256   0.8509
   8.500   1.0952   0.01191   0.00646  -0.0216   0.0217   0.8548
   9.000   1.1193   0.01268   0.00725  -0.0167   0.0184   0.8622
   9.500   1.1457   0.01359   0.00820  -0.0128   0.0157   0.8694
  10.000   1.1716   0.01470   0.00934  -0.0092   0.0132   0.8775
