  
       XFOIL         Version 6.99
  
 Calculated polar for: nacam12.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0531   0.00682   0.00142  -0.0255   0.6207   0.0320
  -1.500   0.0038   0.00664   0.00125  -0.0257   0.5970   0.0483
  -1.000   0.0600   0.00639   0.00113  -0.0258   0.5713   0.1109
  -0.500   0.1185   0.00650   0.00122  -0.0262   0.5471   0.1170
   0.000   0.1771   0.00665   0.00134  -0.0266   0.5229   0.1185
   0.500   0.2346   0.00669   0.00130  -0.0269   0.4937   0.1207
   1.000   0.2924   0.00680   0.00135  -0.0272   0.4675   0.1218
   1.500   0.3506   0.00691   0.00144  -0.0276   0.4471   0.1234
   2.000   0.4084   0.00701   0.00150  -0.0280   0.4256   0.1247
   2.500   0.4658   0.00711   0.00155  -0.0283   0.4030   0.1254
   3.000   0.5222   0.00726   0.00161  -0.0285   0.3674   0.1258
   3.500   0.5776   0.00753   0.00171  -0.0285   0.3187   0.1260
   4.000   0.6331   0.00779   0.00184  -0.0285   0.2780   0.1263
   4.500   0.6879   0.00813   0.00203  -0.0284   0.2354   0.1265
   5.000   0.7417   0.00851   0.00224  -0.0282   0.1893   0.1276
   5.500   0.7952   0.00894   0.00252  -0.0280   0.1488   0.1289
   6.000   0.8484   0.00941   0.00285  -0.0276   0.1118   0.1298
   6.500   0.8993   0.01008   0.00332  -0.0270   0.0686   0.1305
   7.000   0.9514   0.01060   0.00375  -0.0265   0.0478   0.1314
   7.500   1.0043   0.01101   0.00414  -0.0261   0.0392   0.1323
   8.000   1.0571   0.01139   0.00453  -0.0257   0.0344   0.1332
   8.500   1.1093   0.01181   0.00496  -0.0252   0.0312   0.1341
   9.000   1.1610   0.01223   0.00541  -0.0247   0.0286   0.1348
   9.500   1.2124   0.01263   0.00585  -0.0241   0.0270   0.1373
  10.000   1.2615   0.01319   0.00643  -0.0231   0.0236   0.1397
