  
       XFOIL         Version 6.99
  
 Calculated polar for: nlf414f.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0949   0.00661   0.00207  -0.0693   0.7619   0.0816
  -1.500   0.1535   0.00589   0.00187  -0.0706   0.7612   0.2430
  -1.000   0.2114   0.00464   0.00154  -0.0723   0.7601   0.5527
  -0.500   0.2710   0.00417   0.00153  -0.0734   0.7581   0.7249
   0.000   0.3318   0.00428   0.00165  -0.0743   0.7554   0.7360
   0.500   0.3926   0.00435   0.00170  -0.0752   0.7504   0.7413
   1.000   0.4534   0.00441   0.00176  -0.0762   0.7454   0.7427
   1.500   0.5139   0.00413   0.00147  -0.0774   0.7368   0.7461
   2.000   0.5741   0.00413   0.00146  -0.0784   0.7201   0.7486
   2.500   0.6263   0.00533   0.00199  -0.0785   0.5506   0.7502
   3.000   0.6750   0.00680   0.00273  -0.0785   0.3706   0.7506
   3.500   0.7238   0.00797   0.00334  -0.0784   0.2378   0.7510
   4.000   0.7729   0.00892   0.00388  -0.0782   0.1469   0.7515
   4.500   0.8246   0.00954   0.00430  -0.0782   0.1053   0.7518
   5.000   0.8751   0.01019   0.00476  -0.0781   0.0709   0.7522
   5.500   0.9251   0.01081   0.00526  -0.0779   0.0490   0.7527
   6.000   0.9747   0.01140   0.00578  -0.0776   0.0378   0.7531
   6.500   1.0202   0.01206   0.00639  -0.0768   0.0315   0.7533
   7.000   1.0685   0.01275   0.00706  -0.0766   0.0274   0.7536
   7.500   1.1150   0.01347   0.00775  -0.0759   0.0246   0.7539
   8.000   1.1595   0.01426   0.00852  -0.0750   0.0222   0.7542
   8.500   1.2041   0.01499   0.00926  -0.0740   0.0209   0.7545
   9.000   1.2456   0.01591   0.01018  -0.0726   0.0192   0.7549
   9.500   1.2884   0.01671   0.01100  -0.0714   0.0186   0.7554
  10.000   1.3293   0.01763   0.01193  -0.0699   0.0178   0.7557
