  
       XFOIL         Version 6.99
  
 Calculated polar for: nlr7301.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0607   0.00523   0.00120  -0.0752   0.6578   0.3514
  -1.500   0.1154   0.00551   0.00122  -0.0757   0.4556   0.4898
  -1.000   0.1698   0.00625   0.00145  -0.0754   0.2838   0.5236
  -0.500   0.2261   0.00682   0.00165  -0.0753   0.1732   0.5407
   0.000   0.2844   0.00718   0.00181  -0.0754   0.1220   0.5509
   0.500   0.3436   0.00742   0.00196  -0.0756   0.0999   0.5627
   1.000   0.4031   0.00762   0.00212  -0.0759   0.0876   0.5810
   1.500   0.4623   0.00784   0.00228  -0.0760   0.0779   0.5890
   2.000   0.5216   0.00806   0.00245  -0.0762   0.0705   0.5948
   2.500   0.5803   0.00831   0.00263  -0.0763   0.0632   0.5993
   3.000   0.6382   0.00863   0.00286  -0.0762   0.0531   0.6025
   3.500   0.6960   0.00895   0.00311  -0.0761   0.0468   0.6064
   4.000   0.7535   0.00926   0.00340  -0.0760   0.0434   0.6137
   4.500   0.8112   0.00955   0.00367  -0.0759   0.0423   0.6192
   5.000   0.8680   0.00989   0.00398  -0.0756   0.0410   0.6231
   5.500   0.9242   0.01027   0.00434  -0.0753   0.0396   0.6286
   6.000   0.9802   0.01064   0.00472  -0.0749   0.0389   0.6359
   6.500   1.0359   0.01100   0.00508  -0.0744   0.0386   0.6413
   7.000   1.0908   0.01139   0.00546  -0.0738   0.0382   0.6445
   7.500   1.1452   0.01180   0.00588  -0.0732   0.0377   0.6522
   8.000   1.1987   0.01224   0.00634  -0.0724   0.0373   0.6590
   8.500   1.2511   0.01273   0.00682  -0.0714   0.0369   0.6636
   9.000   1.3022   0.01326   0.00735  -0.0702   0.0365   0.6662
   9.500   1.3520   0.01384   0.00796  -0.0688   0.0360   0.6743
  10.000   1.3993   0.01452   0.00869  -0.0671   0.0354   0.6805
