  
       XFOIL         Version 6.99
  
 Calculated polar for: nn7mk20.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2368   0.00458   0.00082  -0.1041   0.6046   0.5261
  -1.500   0.2955   0.00457   0.00081  -0.1047   0.5977   0.5528
  -1.000   0.3544   0.00459   0.00082  -0.1054   0.5912   0.5628
  -0.500   0.4134   0.00462   0.00084  -0.1061   0.5844   0.5710
   0.000   0.4721   0.00469   0.00088  -0.1068   0.5769   0.5798
   0.500   0.5308   0.00473   0.00091  -0.1075   0.5696   0.5851
   1.000   0.5892   0.00480   0.00097  -0.1081   0.5616   0.5911
   1.500   0.6472   0.00490   0.00103  -0.1087   0.5511   0.5944
   2.000   0.7042   0.00503   0.00110  -0.1091   0.5339   0.5973
   2.500   0.7611   0.00516   0.00120  -0.1095   0.5184   0.6031
   3.000   0.8175   0.00531   0.00132  -0.1098   0.5019   0.6072
   3.500   0.8736   0.00550   0.00145  -0.1100   0.4852   0.6102
   4.000   0.9284   0.00571   0.00161  -0.1100   0.4653   0.6140
   4.500   0.9799   0.00607   0.00186  -0.1094   0.4317   0.6181
   5.000   1.0326   0.00637   0.00209  -0.1091   0.4072   0.6213
   5.500   1.0823   0.00680   0.00239  -0.1081   0.3740   0.6240
   6.500   1.1652   0.00825   0.00337  -0.1034   0.2678   0.6312
   7.000   1.1981   0.00918   0.00403  -0.0995   0.2096   0.6350
   7.500   1.2247   0.01008   0.00470  -0.0943   0.1607   0.6383
   8.000   1.2435   0.01100   0.00544  -0.0876   0.1229   0.6408
   8.500   1.2600   0.01210   0.00638  -0.0810   0.0885   0.6454
   9.000   1.2802   0.01320   0.00740  -0.0755   0.0665   0.6501
   9.500   1.3028   0.01436   0.00850  -0.0708   0.0511   0.6537
  10.000   1.3260   0.01564   0.00975  -0.0666   0.0403   0.6563
