  
       XFOIL         Version 6.99
  
 Calculated polar for: npl9510.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0220   0.00398   0.00085  -0.0897   0.8727   0.4388
  -1.500   0.0785   0.00429   0.00084  -0.0894   0.7760   0.4460
  -1.000   0.1274   0.00622   0.00116  -0.0885   0.2652   0.4631
  -0.500   0.1839   0.00682   0.00129  -0.0886   0.1053   0.4774
   0.000   0.2419   0.00712   0.00143  -0.0888   0.0493   0.4904
   0.500   0.3003   0.00733   0.00156  -0.0889   0.0369   0.4967
   1.000   0.3589   0.00748   0.00170  -0.0891   0.0319   0.5071
   1.500   0.4171   0.00768   0.00188  -0.0892   0.0292   0.5134
   2.000   0.4751   0.00791   0.00207  -0.0892   0.0272   0.5166
   2.500   0.5330   0.00814   0.00230  -0.0892   0.0253   0.5254
   3.000   0.5909   0.00835   0.00252  -0.0892   0.0241   0.5336
   3.500   0.6482   0.00865   0.00281  -0.0891   0.0226   0.5390
   4.000   0.7054   0.00892   0.00307  -0.0889   0.0217   0.5416
   4.500   0.7626   0.00920   0.00335  -0.0887   0.0204   0.5514
   5.000   0.8194   0.00952   0.00369  -0.0884   0.0194   0.5589
   5.500   0.8760   0.00984   0.00402  -0.0880   0.0184   0.5644
   6.000   0.9318   0.01027   0.00445  -0.0875   0.0174   0.5684
   6.500   0.9879   0.01062   0.00484  -0.0870   0.0167   0.5792
   7.000   1.0434   0.01103   0.00527  -0.0864   0.0159   0.5865
   7.500   1.0980   0.01157   0.00584  -0.0856   0.0151   0.5911
   8.000   1.1528   0.01203   0.00635  -0.0849   0.0146   0.6019
   8.500   1.2070   0.01255   0.00692  -0.0840   0.0140   0.6108
   9.000   1.2601   0.01321   0.00761  -0.0829   0.0134   0.6161
   9.500   1.3122   0.01398   0.00848  -0.0816   0.0130   0.6280
  10.000   1.3646   0.01463   0.00921  -0.0804   0.0128   0.6380
