  
       XFOIL         Version 6.99
  
 Calculated polar for: nplx.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0702   0.00563   0.00105  -0.0572   0.8118   0.0710
  -1.500  -0.0154   0.00546   0.00093  -0.0569   0.7876   0.1023
  -1.000   0.0383   0.00505   0.00077  -0.0565   0.7595   0.2076
  -0.500   0.0887   0.00404   0.00049  -0.0558   0.7252   0.4788
   0.000   0.1393   0.00434   0.00052  -0.0545   0.6122   0.5128
   0.500   0.1837   0.00530   0.00072  -0.0522   0.3703   0.5328
   1.000   0.2355   0.00579   0.00085  -0.0513   0.2571   0.5407
   1.500   0.2855   0.00646   0.00106  -0.0500   0.1168   0.5498
   2.000   0.3398   0.00676   0.00122  -0.0495   0.0756   0.5605
   2.500   0.3948   0.00699   0.00137  -0.0491   0.0541   0.5712
   3.000   0.4496   0.00727   0.00155  -0.0486   0.0373   0.5780
   3.500   0.5047   0.00748   0.00175  -0.0481   0.0330   0.5878
   4.500   0.6146   0.00794   0.00221  -0.0471   0.0288   0.6060
   5.000   0.6689   0.00824   0.00250  -0.0465   0.0265   0.6140
   5.500   0.7236   0.00845   0.00274  -0.0460   0.0257   0.6267
   6.000   0.7777   0.00873   0.00303  -0.0453   0.0246   0.6384
   6.500   0.8308   0.00909   0.00342  -0.0444   0.0231   0.6497
   7.000   0.8845   0.00937   0.00374  -0.0437   0.0227   0.6641
   7.500   0.9380   0.00965   0.00405  -0.0429   0.0216   0.6786
   8.000   0.9903   0.01004   0.00446  -0.0419   0.0201   0.6945
   8.500   1.0428   0.01036   0.00484  -0.0409   0.0196   0.7122
   9.000   1.0949   0.01072   0.00523  -0.0399   0.0185   0.7294
  10.000   1.1966   0.01156   0.00617  -0.0373   0.0162   0.7685
