  
       XFOIL         Version 6.99
  
 Calculated polar for: oa209.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1578   0.00673   0.00160   0.0025   0.6734   0.0161
  -1.500  -0.0965   0.00679   0.00144   0.0014   0.5893   0.0195
  -1.000  -0.0344   0.00704   0.00134  -0.0001   0.4582   0.0258
  -0.500   0.0270   0.00719   0.00128  -0.0013   0.3662   0.0440
   0.500   0.1514   0.00565   0.00111  -0.0052   0.2981   0.6099
   1.000   0.2125   0.00526   0.00115  -0.0064   0.2767   0.7826
   1.500   0.2720   0.00526   0.00125  -0.0070   0.2570   0.8507
   2.000   0.3312   0.00540   0.00136  -0.0075   0.2382   0.8745
   2.500   0.3907   0.00557   0.00146  -0.0081   0.2200   0.8835
   3.000   0.4501   0.00576   0.00158  -0.0087   0.2025   0.8908
   3.500   0.5093   0.00596   0.00172  -0.0093   0.1854   0.8969
   4.000   0.5686   0.00620   0.00188  -0.0100   0.1683   0.9013
   4.500   0.6280   0.00649   0.00206  -0.0107   0.1485   0.9044
   5.000   0.6867   0.00677   0.00227  -0.0114   0.1298   0.9100
   5.500   0.7452   0.00709   0.00251  -0.0119   0.1131   0.9143
   6.000   0.8037   0.00742   0.00278  -0.0125   0.0990   0.9178
   6.500   0.8620   0.00782   0.00310  -0.0131   0.0840   0.9205
   7.000   0.9200   0.00826   0.00346  -0.0137   0.0686   0.9232
   7.500   0.9771   0.00880   0.00391  -0.0142   0.0514   0.9279
   8.000   1.0336   0.00942   0.00445  -0.0146   0.0362   0.9315
   8.500   1.0900   0.01002   0.00501  -0.0149   0.0277   0.9344
   9.000   1.1462   0.01059   0.00556  -0.0152   0.0229   0.9370
  10.000   1.2567   0.01177   0.00677  -0.0156   0.0176   0.9446
