  
       XFOIL         Version 6.99
  
 Calculated polar for: oaf139.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.4209   0.00702   0.00187   0.0411   0.3955   0.2954
  -1.500  -0.3598   0.00692   0.00180   0.0407   0.3760   0.3165
  -1.000  -0.2987   0.00684   0.00174   0.0402   0.3552   0.3369
  -0.500  -0.2375   0.00681   0.00170   0.0398   0.3328   0.3550
   0.000  -0.1763   0.00679   0.00167   0.0394   0.3114   0.3727
   0.500  -0.1151   0.00680   0.00167   0.0389   0.2887   0.3905
   1.000  -0.0537   0.00685   0.00169   0.0384   0.2633   0.4075
   1.500   0.0076   0.00690   0.00173   0.0379   0.2406   0.4258
   2.000   0.0690   0.00700   0.00179   0.0374   0.2164   0.4430
   2.500   0.1304   0.00709   0.00187   0.0369   0.1968   0.4624
   3.000   0.1917   0.00717   0.00197   0.0365   0.1815   0.4828
   3.500   0.2531   0.00727   0.00208   0.0360   0.1649   0.5068
   4.000   0.3145   0.00745   0.00223   0.0354   0.1417   0.5320
   4.500   0.3759   0.00766   0.00242   0.0349   0.1223   0.5556
   5.000   0.4372   0.00784   0.00262   0.0344   0.1083   0.5807
   5.500   0.4984   0.00803   0.00284   0.0339   0.0963   0.6085
   6.000   0.5596   0.00826   0.00309   0.0334   0.0847   0.6419
   7.500   0.7424   0.00894   0.00402   0.0320   0.0578   0.7815
   8.000   0.8026   0.00920   0.00441   0.0316   0.0504   0.8435
   8.500   0.8614   0.00949   0.00484   0.0316   0.0436   0.9077
   9.000   0.9168   0.00970   0.00519   0.0324   0.0388   1.0000
   9.500   0.9771   0.01021   0.00567   0.0319   0.0346   1.0000
  10.000   1.0370   0.01075   0.00619   0.0315   0.0310   1.0000
