  
       XFOIL         Version 6.99
  
 Calculated polar for: p51htip.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0645   0.00613   0.00113  -0.0313   0.7323   0.0470
  -1.500  -0.0127   0.00534   0.00089  -0.0311   0.7302   0.2181
  -1.000   0.0384   0.00444   0.00067  -0.0310   0.7264   0.4433
  -0.500   0.0892   0.00353   0.00052  -0.0307   0.7179   0.7007
   0.000   0.1478   0.00344   0.00052  -0.0314   0.7143   0.7299
   0.500   0.2065   0.00341   0.00053  -0.0323   0.7091   0.7478
   1.000   0.2650   0.00345   0.00055  -0.0330   0.6978   0.7578
   1.500   0.3235   0.00344   0.00057  -0.0338   0.6844   0.7696
   2.000   0.3767   0.00397   0.00070  -0.0337   0.5695   0.7758
   2.500   0.4198   0.00529   0.00120  -0.0321   0.3439   0.7813
   3.000   0.4632   0.00634   0.00165  -0.0304   0.1741   0.7885
   3.500   0.5069   0.00729   0.00211  -0.0286   0.0469   0.7942
   4.000   0.5580   0.00768   0.00240  -0.0281   0.0257   0.8005
   4.500   0.6102   0.00796   0.00269  -0.0277   0.0213   0.8078
   5.000   0.6619   0.00827   0.00297  -0.0273   0.0178   0.8134
   5.500   0.7126   0.00858   0.00328  -0.0266   0.0152   0.8217
   6.000   0.7620   0.00894   0.00364  -0.0258   0.0132   0.8294
   6.500   0.8107   0.00930   0.00401  -0.0248   0.0117   0.8371
   7.000   0.8575   0.00969   0.00443  -0.0234   0.0106   0.8469
   7.500   0.9029   0.01010   0.00486  -0.0218   0.0095   0.8566
   8.000   0.9441   0.01057   0.00538  -0.0194   0.0085   0.8676
   8.500   0.9790   0.01097   0.00585  -0.0157   0.0081   0.8819
   9.000   1.0130   0.01149   0.00644  -0.0119   0.0076   0.8983
   9.500   1.0460   0.01209   0.00710  -0.0082   0.0066   0.9187
  10.000   1.0765   0.01264   0.00780  -0.0039   0.0064   0.9510
