  
       XFOIL         Version 6.99
  
 Calculated polar for: r1046.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4400   0.00710   0.00167  -0.1223   0.5240   0.0441
  -1.500   0.4968   0.00691   0.00158  -0.1227   0.5228   0.0747
  -1.000   0.5530   0.00666   0.00151  -0.1230   0.5215   0.1333
  -0.500   0.6081   0.00635   0.00148  -0.1233   0.5199   0.2362
   0.000   0.6633   0.00610   0.00148  -0.1235   0.5179   0.3378
   0.500   0.7164   0.00574   0.00152  -0.1235   0.5153   0.5084
   1.000   0.7716   0.00567   0.00158  -0.1237   0.5122   0.5761
   1.500   0.8258   0.00562   0.00169  -0.1237   0.5089   0.6524
   2.000   0.8796   0.00550   0.00180  -0.1237   0.5073   0.7476
   2.500   0.9324   0.00531   0.00189  -0.1234   0.5067   0.8531
   3.000   0.9805   0.00522   0.00204  -0.1218   0.5057   0.9512
   3.500   1.0344   0.00529   0.00214  -0.1217   0.5044   0.9749
   4.000   1.0964   0.00542   0.00228  -0.1234   0.5026   0.9883
   4.500   1.1679   0.00555   0.00240  -0.1274   0.4998   0.9910
   5.000   1.2372   0.00570   0.00253  -0.1310   0.4964   0.9931
   5.500   1.3037   0.00589   0.00270  -0.1340   0.4922   0.9954
   6.000   1.3691   0.00605   0.00286  -0.1368   0.4890   0.9975
   6.500   1.4351   0.00612   0.00297  -0.1396   0.4868   0.9989
   7.000   1.4993   0.00625   0.00311  -0.1422   0.4816   1.0000
   7.500   1.5334   0.00648   0.00331  -0.1384   0.4725   1.0000
   8.000   1.5708   0.00658   0.00345  -0.1351   0.4681   1.0000
   8.500   1.5911   0.00684   0.00368  -0.1284   0.4558   1.0000
   9.000   1.6247   0.00711   0.00396  -0.1246   0.4451   1.0000
   9.500   1.6541   0.00756   0.00438  -0.1203   0.4310   1.0000
  10.000   1.6754   0.00829   0.00505  -0.1147   0.4084   1.0000
