  
       XFOIL         Version 6.99
  
 Calculated polar for: r140sm.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1880   0.00452   0.00063  -0.0049   0.6467   0.4994
  -1.500  -0.1356   0.00434   0.00055  -0.0044   0.6336   0.5499
  -1.000  -0.0822   0.00422   0.00052  -0.0040   0.6219   0.5939
  -0.500  -0.0270   0.00420   0.00050  -0.0041   0.6104   0.6156
   0.500   0.0837   0.00422   0.00050  -0.0043   0.5818   0.6412
   1.000   0.1387   0.00425   0.00052  -0.0043   0.5640   0.6537
   1.500   0.1933   0.00431   0.00056  -0.0042   0.5428   0.6654
   2.000   0.2467   0.00442   0.00061  -0.0039   0.5083   0.6798
   2.500   0.2991   0.00455   0.00069  -0.0034   0.4686   0.6991
   3.000   0.3439   0.00501   0.00090  -0.0015   0.3613   0.7358
   3.500   0.3787   0.00607   0.00137   0.0023   0.1575   0.7843
   4.000   0.4190   0.00691   0.00182   0.0051   0.0281   0.8170
   4.500   0.4674   0.00724   0.00216   0.0064   0.0105   0.8407
   5.000   0.5168   0.00752   0.00253   0.0076   0.0082   0.8619
   5.500   0.5652   0.00777   0.00287   0.0089   0.0069   0.8845
   6.000   0.6127   0.00801   0.00320   0.0104   0.0057   0.9156
   6.500   0.6660   0.00852   0.00388   0.0106   0.0038   0.9569
   7.000   0.7404   0.00915   0.00458   0.0057   0.0033   0.9732
   7.500   0.8106   0.00986   0.00533   0.0018   0.0028   0.9787
   8.000   0.8673   0.01054   0.00602   0.0009   0.0024   0.9864
   8.500   0.9209   0.01189   0.00754   0.0005   0.0016   0.9915
   9.000   0.9721   0.01335   0.00916   0.0004   0.0016   0.9960
   9.500   1.0227   0.01572   0.01180  -0.0001   0.0015   0.9989
  10.000   1.0539   0.01892   0.01537   0.0030   0.0015   1.0000
