  
       XFOIL         Version 6.99
  
 Calculated polar for: rae103.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2159   0.00472   0.00065  -0.0013   0.7106   0.3698
  -1.500  -0.1665   0.00408   0.00047  -0.0002   0.6903   0.5269
  -1.000  -0.1118   0.00394   0.00042  -0.0000   0.6706   0.5784
  -0.500  -0.0559   0.00390   0.00040  -0.0000   0.6511   0.6066
   0.000   0.0000   0.00388   0.00039  -0.0000   0.6308   0.6306
   0.500   0.0560   0.00389   0.00040  -0.0000   0.6076   0.6511
   1.000   0.1117   0.00394   0.00042   0.0000   0.5785   0.6708
   1.500   0.1663   0.00409   0.00047   0.0003   0.5256   0.6908
   2.500   0.2658   0.00533   0.00087   0.0022   0.2332   0.7314
   3.000   0.3166   0.00587   0.00111   0.0031   0.1322   0.7503
   3.500   0.3685   0.00630   0.00137   0.0037   0.0721   0.7690
   4.500   0.4737   0.00690   0.00190   0.0049   0.0261   0.8143
   5.000   0.5259   0.00716   0.00219   0.0057   0.0181   0.8431
   5.500   0.5771   0.00739   0.00252   0.0066   0.0138   0.8803
   6.000   0.6265   0.00762   0.00289   0.0080   0.0110   0.9264
   6.500   0.6819   0.00797   0.00333   0.0081   0.0089   0.9672
   7.000   0.7523   0.00850   0.00387   0.0046   0.0072   0.9798
   7.500   0.8131   0.00907   0.00446   0.0032   0.0058   0.9883
   8.000   0.8749   0.00964   0.00505   0.0016   0.0051   0.9941
   8.500   0.9352   0.01058   0.00606   0.0002   0.0041   0.9978
   9.000   0.9964   0.01134   0.00689  -0.0013   0.0040   0.9995
   9.500   1.0464   0.01214   0.00776  -0.0005   0.0039   1.0000
  10.000   1.0865   0.01298   0.00870   0.0024   0.0038   1.0000
