  
       XFOIL         Version 6.99
  
 Calculated polar for: rae5212.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0780   0.00472   0.00071  -0.0731   0.7289   0.3160
  -1.500   0.1306   0.00423   0.00057  -0.0725   0.7034   0.4570
  -1.000   0.1847   0.00413   0.00055  -0.0720   0.6673   0.5282
  -0.500   0.2397   0.00423   0.00058  -0.0716   0.6274   0.5563
   0.000   0.2910   0.00462   0.00068  -0.0705   0.5376   0.5713
   0.500   0.3404   0.00516   0.00084  -0.0691   0.4262   0.5841
   1.000   0.3901   0.00573   0.00103  -0.0678   0.3201   0.5897
   1.500   0.4399   0.00626   0.00124  -0.0665   0.2278   0.5972
   2.000   0.4907   0.00675   0.00145  -0.0654   0.1564   0.6034
   2.500   0.5424   0.00718   0.00167  -0.0644   0.1087   0.6078
   3.000   0.5944   0.00754   0.00190  -0.0635   0.0783   0.6154
   3.500   0.6479   0.00781   0.00212  -0.0629   0.0686   0.6221
   4.000   0.7019   0.00804   0.00232  -0.0623   0.0653   0.6264
   4.500   0.7550   0.00828   0.00256  -0.0616   0.0618   0.6348
   5.000   0.8084   0.00850   0.00280  -0.0609   0.0602   0.6418
   5.500   0.8609   0.00879   0.00306  -0.0601   0.0574   0.6474
   6.000   0.9129   0.00906   0.00336  -0.0592   0.0556   0.6558
   6.500   0.9650   0.00932   0.00363  -0.0583   0.0541   0.6614
   7.000   1.0158   0.00964   0.00395  -0.0571   0.0518   0.6676
   7.500   1.0661   0.00996   0.00430  -0.0559   0.0499   0.6760
   8.000   1.1162   0.01027   0.00461  -0.0547   0.0479   0.6816
   8.500   1.1642   0.01066   0.00503  -0.0531   0.0453   0.6914
   9.000   1.2127   0.01098   0.00538  -0.0515   0.0436   0.6994
   9.500   1.2584   0.01141   0.00583  -0.0495   0.0406   0.7120
  10.000   1.3040   0.01178   0.00627  -0.0475   0.0391   0.7272
