  
       XFOIL         Version 6.99
  
 Calculated polar for: raf30md.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.1493   0.00585   0.00079  -0.0030   0.7577   0.0044
  -1.000  -0.0977   0.00539   0.00056  -0.0021   0.7047   0.1242
  -0.500  -0.0516   0.00438   0.00034  -0.0007   0.6323   0.4416
   0.000  -0.0001   0.00436   0.00032   0.0000   0.5369   0.5375
   0.500   0.0514   0.00438   0.00035   0.0007   0.4426   0.6319
   1.000   0.1024   0.00462   0.00043   0.0014   0.3204   0.7076
   2.000   0.2032   0.00590   0.00091   0.0032   0.0034   0.7969
   2.500   0.2565   0.00604   0.00129   0.0040   0.0021   0.8417
   3.000   0.3064   0.00646   0.00197   0.0055   0.0008   0.9018
