  
       XFOIL         Version 6.99
  
 Calculated polar for: raf31.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.1133   0.00642   0.00102  -0.0659   0.6137   0.0252
  -1.000   0.1576   0.00547   0.00074  -0.0638   0.5961   0.2452
  -0.500   0.2083   0.00520   0.00069  -0.0627   0.5720   0.3400
   0.000   0.2596   0.00526   0.00071  -0.0616   0.5265   0.3807
   0.500   0.3078   0.00550   0.00080  -0.0600   0.4571   0.4189
   1.000   0.3580   0.00555   0.00088  -0.0588   0.4211   0.4788
   1.500   0.3929   0.00641   0.00123  -0.0547   0.2491   0.5419
   2.500   0.4731   0.00789   0.00201  -0.0483   0.0017   0.6221
   3.000   0.5236   0.00799   0.00220  -0.0471   0.0023   0.6700
   3.500   0.5745   0.00320  -0.00240  -0.0464   0.0031   0.7091
   4.000   0.6227   0.00326  -0.00220  -0.0448   0.0026   0.7609
   4.500   0.6697   0.00338  -0.00198  -0.0429   0.0019   0.7986
