  
       XFOIL         Version 6.99
  
 Calculated polar for: rc12b3.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1057   0.00644   0.00125  -0.0067   0.6933   0.0558
  -1.500  -0.0504   0.00623   0.00113  -0.0065   0.6765   0.0825
  -1.000   0.0053   0.00609   0.00104  -0.0065   0.6583   0.1061
  -0.500   0.0608   0.00595   0.00096  -0.0064   0.6395   0.1398
   0.000   0.1152   0.00576   0.00091  -0.0061   0.6192   0.2023
   0.500   0.1647   0.00532   0.00086  -0.0050   0.5945   0.3712
   1.000   0.1856   0.00378   0.00068   0.0024   0.5669   0.8382
   1.500   0.2339   0.00379   0.00087   0.0044   0.5319   0.9361
   2.000   0.2895   0.00406   0.00103   0.0045   0.4966   0.9488
   2.500   0.3450   0.00439   0.00125   0.0047   0.4618   0.9564
   3.000   0.4004   0.00483   0.00150   0.0047   0.4120   0.9632
   3.500   0.4648   0.00540   0.00189   0.0027   0.3674   0.9675
   4.000   0.5182   0.00600   0.00219   0.0029   0.2948   0.9702
   4.500   0.5674   0.00648   0.00243   0.0040   0.2374   0.9722
   5.000   0.6161   0.00697   0.00270   0.0051   0.1882   0.9738
   5.500   0.6615   0.00751   0.00298   0.0069   0.1331   0.9758
   6.000   0.7086   0.00846   0.00352   0.0079   0.0558   0.9780
   7.000   0.8127   0.00990   0.00465   0.0082   0.0008   0.9805
   7.500   0.8671   0.01032   0.00504   0.0079   0.0007   0.9816
   8.000   0.9212   0.01077   0.00549   0.0077   0.0007   0.9828
   8.500   0.9734   0.01126   0.00597   0.0078   0.0006   0.9842
   9.000   1.0223   0.01177   0.00649   0.0085   0.0006   0.9860
   9.500   1.0671   0.01233   0.00706   0.0101   0.0006   0.9881
  10.000   1.1073   0.01294   0.00770   0.0126   0.0006   0.9899
