  
       XFOIL         Version 6.99
  
 Calculated polar for: rc12n1.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1792   0.00664   0.00121   0.0072   0.6265   0.0337
  -1.500  -0.1221   0.00642   0.00106   0.0069   0.6172   0.0538
  -1.000  -0.0667   0.00599   0.00089   0.0069   0.6059   0.1449
  -0.500  -0.0177   0.00480   0.00061   0.0078   0.5959   0.4494
   0.000   0.0358   0.00429   0.00055   0.0081   0.5853   0.5982
   0.500   0.0928   0.00419   0.00054   0.0078   0.5723   0.6448
   1.000   0.1506   0.00414   0.00055   0.0074   0.5623   0.6746
   1.500   0.2087   0.00416   0.00057   0.0069   0.5492   0.6917
   2.000   0.2666   0.00420   0.00060   0.0064   0.5281   0.7080
   2.500   0.3236   0.00430   0.00065   0.0061   0.4952   0.7311
   3.500   0.4291   0.00442   0.00093   0.0071   0.3924   0.8941
   4.000   0.4831   0.00490   0.00120   0.0071   0.3156   0.9204
   4.500   0.5372   0.00538   0.00148   0.0072   0.2491   0.9410
   5.000   0.5904   0.00622   0.00196   0.0071   0.1487   0.9612
   5.500   0.6494   0.00700   0.00245   0.0057   0.0829   0.9753
   6.000   0.7117   0.00756   0.00286   0.0038   0.0551   0.9836
   6.500   0.7691   0.00803   0.00325   0.0031   0.0406   0.9897
   7.000   0.8333   0.00855   0.00369   0.0007   0.0282   0.9916
   7.500   0.8963   0.00908   0.00415  -0.0015   0.0205   0.9938
   8.000   0.9582   0.00964   0.00466  -0.0034   0.0147   0.9960
   8.500   1.0194   0.01025   0.00524  -0.0052   0.0108   0.9979
   9.000   1.0803   0.01084   0.00582  -0.0070   0.0090   0.9992
   9.500   1.1386   0.01146   0.00643  -0.0083   0.0073   1.0000
  10.000   1.1810   0.01209   0.00705  -0.0061   0.0058   1.0000
