  
       XFOIL         Version 6.99
  
 Calculated polar for: rcsc2.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1190   0.00557   0.00109  -0.0271   0.8830   0.0686
  -1.500  -0.0648   0.00530   0.00093  -0.0265   0.8595   0.1152
  -1.000  -0.0134   0.00511   0.00081  -0.0254   0.8000   0.1866
  -0.500   0.0345   0.00508   0.00075  -0.0236   0.6917   0.2920
   0.000   0.0805   0.00499   0.00073  -0.0217   0.5660   0.4541
   0.500   0.1276   0.00506   0.00079  -0.0199   0.4340   0.5884
   1.000   0.1737   0.00530   0.00091  -0.0180   0.2797   0.7185
   1.500   0.2236   0.00551   0.00104  -0.0167   0.1864   0.8028
   2.000   0.2763   0.00573   0.00120  -0.0158   0.1335   0.8505
   2.500   0.3295   0.00601   0.00138  -0.0150   0.0891   0.8827
   3.000   0.3834   0.00627   0.00158  -0.0143   0.0642   0.9062
   3.500   0.4376   0.00651   0.00178  -0.0137   0.0508   0.9264
   4.000   0.4902   0.00686   0.00205  -0.0127   0.0293   0.9449
   4.500   0.5435   0.00720   0.00235  -0.0119   0.0216   0.9568
   5.000   0.5968   0.00753   0.00265  -0.0110   0.0184   0.9672
   5.500   0.6501   0.00783   0.00294  -0.0102   0.0171   0.9762
   6.000   0.7061   0.00824   0.00333  -0.0101   0.0156   0.9842
   6.500   0.7612   0.00860   0.00368  -0.0097   0.0152   0.9902
   7.000   0.8254   0.00904   0.00410  -0.0116   0.0147   0.9921
   7.500   0.8883   0.00951   0.00457  -0.0131   0.0143   0.9935
   8.000   0.9497   0.01002   0.00508  -0.0143   0.0140   0.9951
   8.500   1.0096   0.01059   0.00566  -0.0153   0.0137   0.9968
   9.000   1.0684   0.01125   0.00635  -0.0160   0.0134   0.9985
   9.500   1.1256   0.01208   0.00724  -0.0165   0.0131   0.9997
  10.000   1.1676   0.01291   0.00815  -0.0137   0.0129   1.0000
