  
       XFOIL         Version 6.99
  
 Calculated polar for: rg12a.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0582   0.00514   0.00063  -0.0597   0.7014   0.1711
  -1.500   0.1122   0.00494   0.00054  -0.0594   0.6600   0.2602
  -0.500   0.2203   0.00433   0.00045  -0.0591   0.5794   0.5444
   0.000   0.2743   0.00407   0.00048  -0.0589   0.5393   0.7014
   0.500   0.3297   0.00421   0.00054  -0.0587   0.4978   0.7316
   1.000   0.3850   0.00440   0.00062  -0.0585   0.4539   0.7499
   1.500   0.4399   0.00465   0.00072  -0.0583   0.4063   0.7641
   2.000   0.4950   0.00489   0.00085  -0.0581   0.3636   0.7765
   3.500   0.6552   0.00610   0.00148  -0.0568   0.1869   0.8184
   4.000   0.7083   0.00654   0.00177  -0.0563   0.1396   0.8290
   4.500   0.7604   0.00709   0.00212  -0.0556   0.0888   0.8395
   5.000   0.8123   0.00765   0.00253  -0.0549   0.0498   0.8510
   5.500   0.8623   0.00841   0.00312  -0.0539   0.0132   0.8654
   6.000   0.9150   0.00883   0.00360  -0.0532   0.0098   0.8822
   6.500   0.9672   0.00921   0.00407  -0.0524   0.0094   0.9038
   7.500   1.0682   0.00999   0.00510  -0.0502   0.0082   1.0000
   8.000   1.1193   0.01060   0.00574  -0.0494   0.0073   1.0000
   8.500   1.1675   0.01151   0.00676  -0.0481   0.0062   1.0000
   9.000   1.2190   0.01196   0.00721  -0.0475   0.0060   1.0000
   9.500   1.2693   0.01251   0.00778  -0.0466   0.0055   1.0000
  10.000   1.3191   0.01307   0.00833  -0.0457   0.0047   1.0000
