  
       XFOIL         Version 6.99
  
 Calculated polar for: s1223rtl.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.9718   0.00942   0.00328  -0.2658   0.2862   0.0177
  -1.500   1.0309   0.00944   0.00328  -0.2659   0.2843   0.0209
  -1.000   1.0893   0.00949   0.00332  -0.2659   0.2810   0.0268
  -0.500   1.1475   0.00958   0.00340  -0.2659   0.2767   0.0452
   0.000   1.2098   0.00957   0.00355  -0.2670   0.2709   0.1394
   0.500   1.2690   0.00959   0.00371  -0.2674   0.2697   0.2152
   1.000   1.3252   0.00971   0.00388  -0.2670   0.2679   0.2483
   1.500   1.3809   0.00987   0.00408  -0.2665   0.2651   0.2907
   2.000   1.4352   0.01009   0.00430  -0.2658   0.2614   0.3189
   2.500   1.4887   0.01035   0.00456  -0.2649   0.2564   0.3443
   3.000   1.5422   0.01057   0.00480  -0.2640   0.2543   0.3667
   3.500   1.5955   0.01077   0.00505  -0.2631   0.2530   0.3906
   4.000   1.6473   0.01102   0.00532  -0.2620   0.2508   0.4125
   4.500   1.6982   0.01132   0.00564  -0.2606   0.2478   0.4334
   5.500   1.7987   0.01204   0.00638  -0.2578   0.2397   0.4784
   6.000   1.8497   0.01231   0.00672  -0.2566   0.2388   0.5038
   6.500   1.9000   0.01262   0.00709  -0.2553   0.2372   0.5306
   7.000   1.9499   0.01298   0.00750  -0.2540   0.2347   0.5654
   7.500   1.9989   0.01341   0.00799  -0.2525   0.2313   0.6115
   8.000   2.0487   0.01390   0.00862  -0.2514   0.2263   0.7322
   9.000   2.1438   0.01458   0.00967  -0.2480   0.2238   1.0000
   9.500   2.1898   0.01507   0.01020  -0.2461   0.2219   1.0000
  10.000   2.2340   0.01566   0.01081  -0.2438   0.2190   1.0000
