  
       XFOIL         Version 6.99
  
 Calculated polar for: s9026.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2222   0.00525   0.00073  -0.0010   0.6719   0.2395
  -1.500  -0.1664   0.00517   0.00063  -0.0008   0.6198   0.2790
  -1.000  -0.1111   0.00504   0.00055  -0.0005   0.5673   0.3410
  -0.500  -0.0557   0.00505   0.00052  -0.0002   0.4994   0.3906
   0.000   0.0000   0.00505   0.00050  -0.0000   0.4418   0.4422
   0.500   0.0557   0.00505   0.00052   0.0002   0.3906   0.4998
   1.000   0.1111   0.00505   0.00055   0.0005   0.3401   0.5672
   1.500   0.1665   0.00517   0.00063   0.0008   0.2789   0.6199
   2.000   0.2223   0.00525   0.00072   0.0010   0.2397   0.6718
   2.500   0.2775   0.00535   0.00085   0.0014   0.1974   0.7336
   3.500   0.3880   0.00570   0.00119   0.0021   0.1278   0.8215
   4.000   0.4421   0.00591   0.00141   0.0028   0.0967   0.8709
   4.500   0.4947   0.00605   0.00165   0.0039   0.0779   0.9265
   5.000   0.5455   0.00633   0.00193   0.0055   0.0600   0.9710
   5.500   0.6046   0.00668   0.00222   0.0051   0.0470   0.9866
   6.000   0.6679   0.00704   0.00253   0.0037   0.0379   0.9942
   6.500   0.7361   0.00752   0.00293   0.0011   0.0257   0.9968
   7.000   0.8027   0.00801   0.00338  -0.0011   0.0194   0.9994
   7.500   0.8572   0.00851   0.00385  -0.0006   0.0162   1.0000
   8.000   0.9057   0.00897   0.00434   0.0012   0.0147   1.0000
   8.500   0.9552   0.00940   0.00478   0.0027   0.0140   1.0000
   9.000   1.0045   0.00991   0.00530   0.0042   0.0125   1.0000
   9.500   1.0538   0.01059   0.00602   0.0057   0.0109   1.0000
  10.000   1.1051   0.01107   0.00652   0.0068   0.0106   1.0000
