  
       XFOIL         Version 6.99
  
 Calculated polar for: sa7024.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2024   0.00590   0.00138  -0.0938   0.7088   0.0072
  -1.500   0.2578   0.00562   0.00082  -0.0934   0.6632   0.0068
  -1.000   0.3132   0.00557   0.00055  -0.0930   0.6169   0.0083
  -0.500   0.3688   0.00562   0.00047  -0.0927   0.5788   0.0099
   0.000   0.4243   0.00570   0.00042  -0.0925   0.5403   0.0113
   0.500   0.4793   0.00523   0.00047  -0.0926   0.4956   0.2817
   1.000   0.5338   0.00497   0.00060  -0.0926   0.4463   0.5270
   1.500   0.5877   0.00462   0.00078  -0.0924   0.4040   0.8112
   2.000   0.6385   0.00450   0.00091  -0.0910   0.3662   1.0000
   2.500   0.6934   0.00479   0.00105  -0.0907   0.3286   1.0000
   3.000   0.7461   0.00535   0.00129  -0.0901   0.2522   1.0000
   3.500   0.7975   0.00608   0.00162  -0.0893   0.1653   1.0000
   4.000   0.8472   0.00707   0.00213  -0.0883   0.0654   1.0000
   4.500   0.8974   0.00802   0.00277  -0.0872   0.0032   1.0000
   5.000   0.9515   0.00838   0.00313  -0.0868   0.0027   1.0000
   5.500   1.0052   0.00879   0.00356  -0.0863   0.0023   1.0000
   6.000   1.0578   0.00935   0.00417  -0.0855   0.0015   1.0000
   6.500   1.1095   0.01000   0.00489  -0.0846   0.0014   1.0000
   7.000   1.1594   0.01093   0.00594  -0.0833   0.0013   1.0000
   7.500   1.2066   0.01219   0.00735  -0.0816   0.0013   1.0000
   8.000   1.2497   0.01396   0.00933  -0.0792   0.0014   1.0000
   8.500   1.2695   0.01950   0.01533  -0.0730   0.0016   1.0000
   9.000   1.3042   0.02278   0.01887  -0.0698   0.0016   1.0000
   9.500   1.3323   0.02667   0.02311  -0.0659   0.0016   1.0000
  10.000   1.3499   0.03109   0.02791  -0.0611   0.0016   1.0000
