  
       XFOIL         Version 6.99
  
 Calculated polar for: sc1095.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1463   0.00594   0.00102  -0.0123   0.6859   0.1060
  -1.000  -0.0299   0.00603   0.00085  -0.0130   0.5203   0.1697
  -0.500   0.0281   0.00607   0.00082  -0.0135   0.4295   0.2346
   0.000   0.0862   0.00603   0.00081  -0.0140   0.3549   0.3249
   0.500   0.1444   0.00590   0.00082  -0.0145   0.3040   0.4344
   1.000   0.2026   0.00569   0.00086  -0.0150   0.2668   0.5635
   1.500   0.2607   0.00563   0.00094  -0.0154   0.2257   0.6678
   2.000   0.3186   0.00573   0.00107  -0.0157   0.1777   0.7456
   2.500   0.3761   0.00579   0.00123  -0.0159   0.1497   0.8221
   3.000   0.4330   0.00588   0.00140  -0.0158   0.1312   0.8808
   3.500   0.4887   0.00603   0.00159  -0.0154   0.1151   0.9219
   4.000   0.5428   0.00622   0.00178  -0.0146   0.1033   0.9507
   4.500   0.5965   0.00643   0.00196  -0.0137   0.0935   0.9667
   5.000   0.6515   0.00665   0.00215  -0.0132   0.0849   0.9793
   6.000   0.7706   0.00721   0.00263  -0.0144   0.0703   1.0000
   6.500   0.8285   0.00754   0.00292  -0.0146   0.0647   1.0000
   7.000   0.8861   0.00789   0.00324  -0.0149   0.0589   1.0000
   7.500   0.9433   0.00826   0.00357  -0.0150   0.0531   1.0000
   8.000   0.9998   0.00871   0.00398  -0.0151   0.0447   1.0000
   8.500   1.0514   0.01008   0.00512  -0.0146   0.0117   1.0000
   9.000   1.1049   0.01098   0.00600  -0.0143   0.0051   1.0000
   9.500   1.1589   0.01167   0.00672  -0.0139   0.0042   1.0000
  10.000   1.2122   0.01240   0.00751  -0.0135   0.0039   1.0000
