  
       XFOIL         Version 6.99
  
 Calculated polar for: sc20706.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2718   0.00308   0.00062  -0.1115   0.9593   0.5619
  -1.500   0.3152   0.00468   0.00083  -0.1086   0.5525   0.5919
  -1.000   0.3684   0.00564   0.00102  -0.1084   0.2997   0.6109
  -0.500   0.4232   0.00638   0.00124  -0.1083   0.1186   0.6330
   0.000   0.4792   0.00682   0.00144  -0.1083   0.0447   0.6544
   0.500   0.5357   0.00709   0.00166  -0.1084   0.0236   0.6743
   1.000   0.5922   0.00733   0.00188  -0.1084   0.0143   0.6903
   1.500   0.6483   0.00766   0.00218  -0.1083   0.0071   0.7059
   2.000   0.7043   0.00794   0.00248  -0.1082   0.0062   0.7187
   2.500   0.7600   0.00830   0.00288  -0.1079   0.0053   0.7313
   3.000   0.8158   0.00859   0.00319  -0.1078   0.0048   0.7471
   3.500   0.8712   0.00894   0.00354  -0.1075   0.0034   0.7603
   4.000   0.9261   0.00939   0.00401  -0.1071   0.0030   0.7691
   4.500   0.9802   0.01000   0.00468  -0.1065   0.0009   0.7801
   5.500   1.0883   0.01117   0.00599  -0.1051   0.0005   0.8000
   6.000   1.1415   0.01190   0.00683  -0.1043   0.0005   0.8110
   6.500   1.1939   0.01277   0.00782  -0.1032   0.0005   0.8213
   7.000   1.2454   0.01380   0.00902  -0.1020   0.0005   0.8318
   8.000   1.3445   0.01659   0.01224  -0.0989   0.0005   0.8504
   8.500   1.3908   0.01857   0.01451  -0.0969   0.0005   0.8585
   9.000   1.4328   0.02128   0.01760  -0.0942   0.0005   0.8682
   9.500   1.4654   0.02567   0.02253  -0.0904   0.0005   0.8773
  10.000   1.2417   0.07707   0.07603  -0.0719   0.0005   0.8884
