  
       XFOIL         Version 6.99
  
 Calculated polar for: sd2030.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0979   0.00541   0.00076  -0.0710   0.7940   0.0150
  -1.000   0.2082   0.00497   0.00050  -0.0707   0.7493   0.1090
  -0.500   0.2623   0.00468   0.00044  -0.0704   0.7178   0.2312
   0.000   0.3151   0.00431   0.00043  -0.0701   0.6757   0.4194
   0.500   0.3660   0.00388   0.00048  -0.0694   0.6187   0.6719
   1.000   0.4167   0.00398   0.00061  -0.0684   0.5374   0.7942
   1.500   0.4675   0.00435   0.00079  -0.0674   0.4455   0.8470
   2.000   0.5189   0.00476   0.00098  -0.0665   0.3659   0.8772
   2.500   0.5702   0.00517   0.00118  -0.0656   0.2934   0.9017
   3.000   0.6217   0.00549   0.00138  -0.0647   0.2452   0.9249
   3.500   0.6707   0.00593   0.00162  -0.0632   0.1851   0.9469
   4.000   0.7190   0.00623   0.00185  -0.0615   0.1510   0.9728
   4.500   0.7791   0.00668   0.00213  -0.0627   0.1108   0.9928
   5.000   0.8361   0.00720   0.00247  -0.0632   0.0759   1.0000
   5.500   0.8878   0.00763   0.00280  -0.0625   0.0570   1.0000
   6.000   0.9390   0.00812   0.00319  -0.0617   0.0389   1.0000
   6.500   0.9905   0.00858   0.00359  -0.0609   0.0285   1.0000
   7.000   1.0415   0.00909   0.00404  -0.0600   0.0203   1.0000
   7.500   1.0881   0.01002   0.00485  -0.0584   0.0049   1.0000
   8.000   1.1381   0.01058   0.00544  -0.0574   0.0039   1.0000
   8.500   1.1868   0.01123   0.00613  -0.0561   0.0033   1.0000
   9.000   1.2328   0.01214   0.00714  -0.0544   0.0025   1.0000
   9.500   1.2780   0.01308   0.00818  -0.0525   0.0023   1.0000
  10.000   1.3235   0.01389   0.00906  -0.0508   0.0023   1.0000
