  
       XFOIL         Version 6.99
  
 Calculated polar for: sg6051.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1378   0.00615   0.00130  -0.0779   0.7033   0.0972
  -1.500   0.1976   0.00582   0.00118  -0.0790   0.6931   0.1771
  -1.000   0.2574   0.00533   0.00108  -0.0803   0.6816   0.3274
  -0.500   0.3173   0.00519   0.00107  -0.0814   0.6689   0.3905
   0.000   0.3773   0.00517   0.00107  -0.0825   0.6544   0.4150
   0.500   0.4371   0.00511   0.00109  -0.0835   0.6380   0.4667
   1.000   0.4967   0.00487   0.00114  -0.0847   0.6207   0.5941
   1.500   0.5557   0.00445   0.00125  -0.0858   0.6008   0.8152
   2.000   0.6134   0.00440   0.00136  -0.0864   0.5779   0.8993
   2.500   0.6638   0.00444   0.00145  -0.0851   0.5467   0.9688
   3.000   0.7219   0.00462   0.00151  -0.0857   0.5124   0.9981
   3.500   0.7797   0.00509   0.00173  -0.0866   0.4493   1.0000
   4.000   0.8351   0.00582   0.00208  -0.0871   0.3624   1.0000
   4.500   0.8892   0.00664   0.00251  -0.0874   0.2733   1.0000
   5.000   0.9432   0.00737   0.00294  -0.0876   0.2058   1.0000
   5.500   0.9963   0.00813   0.00341  -0.0876   0.1444   1.0000
   6.000   1.0487   0.00887   0.00392  -0.0875   0.0965   1.0000
   6.500   1.1003   0.00963   0.00447  -0.0872   0.0588   1.0000
   7.000   1.1519   0.01029   0.00501  -0.0869   0.0378   1.0000
   7.500   1.2031   0.01093   0.00557  -0.0864   0.0265   1.0000
   8.000   1.2543   0.01150   0.00612  -0.0860   0.0214   1.0000
   8.500   1.3044   0.01210   0.00670  -0.0854   0.0175   1.0000
   9.000   1.3524   0.01278   0.00736  -0.0844   0.0133   1.0000
   9.500   1.3964   0.01366   0.00820  -0.0827   0.0080   1.0000
  10.000   1.4390   0.01449   0.00904  -0.0807   0.0065   1.0000
