  
       XFOIL         Version 6.99
  
 Calculated polar for: ssca07.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1795   0.00599   0.00118  -0.0009   0.7902   0.0070
  -1.500  -0.1211   0.00577   0.00094  -0.0013   0.7735   0.0112
  -1.000  -0.0627   0.00558   0.00077  -0.0018   0.7504   0.0294
  -0.500  -0.0038   0.00498   0.00059  -0.0028   0.7067   0.2173
   0.000   0.0562   0.00409   0.00047  -0.0047   0.6039   0.5962
   0.500   0.1158   0.00405   0.00053  -0.0061   0.4705   0.7728
   1.000   0.1745   0.00434   0.00063  -0.0070   0.3460   0.8431
   1.500   0.2323   0.00461   0.00074  -0.0076   0.2640   0.8842
   2.000   0.2891   0.00481   0.00086  -0.0078   0.2164   0.9152
   2.500   0.3456   0.00508   0.00100  -0.0081   0.1707   0.9345
   3.000   0.4012   0.00529   0.00114  -0.0080   0.1459   0.9492
   3.500   0.4567   0.00549   0.00130  -0.0079   0.1286   0.9600
   4.000   0.5118   0.00574   0.00147  -0.0078   0.1078   0.9694
   4.500   0.5663   0.00608   0.00168  -0.0076   0.0766   0.9804
   5.000   0.6234   0.00662   0.00206  -0.0081   0.0403   0.9934
   5.500   0.6823   0.00712   0.00246  -0.0090   0.0224   1.0000
   6.000   0.7400   0.00764   0.00291  -0.0097   0.0123   1.0000
   6.500   0.7974   0.00811   0.00339  -0.0102   0.0094   1.0000
   7.000   0.8542   0.00865   0.00394  -0.0107   0.0076   1.0000
   7.500   0.9109   0.00913   0.00445  -0.0111   0.0068   1.0000
   8.000   0.9668   0.00981   0.00517  -0.0114   0.0057   1.0000
   8.500   1.0225   0.01034   0.00574  -0.0117   0.0053   1.0000
   9.000   1.0776   0.01097   0.00641  -0.0118   0.0043   1.0000
   9.500   1.1321   0.01166   0.00715  -0.0120   0.0034   1.0000
  10.000   1.1854   0.01259   0.00814  -0.0119   0.0023   1.0000
