  
       XFOIL         Version 6.99
  
 Calculated polar for: stf86361.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5526   0.00567   0.00136  -0.1806   0.8248   0.0191
  -1.500   0.6112   0.00424   0.00100  -0.1834   0.8196   0.4766
  -1.000   0.6690   0.00391   0.00106  -0.1847   0.8177   0.6224
  -0.500   0.7267   0.00401   0.00119  -0.1857   0.8162   0.6306
   0.000   0.7837   0.00403   0.00122  -0.1865   0.8127   0.6319
   0.500   0.8382   0.00396   0.00115  -0.1868   0.8026   0.6376
   1.000   0.8904   0.00394   0.00112  -0.1865   0.7864   0.6386
   1.500   0.8756   0.00547   0.00188  -0.1716   0.6084   0.6398
   2.000   0.8523   0.00803   0.00341  -0.1562   0.3765   0.6410
   2.500   0.8493   0.01032   0.00476  -0.1456   0.1560   0.6422
   3.000   0.8696   0.01195   0.00580  -0.1396   0.0120   0.6431
   3.500   0.9146   0.01245   0.00627  -0.1383   0.0075   0.6439
   4.000   0.9593   0.01297   0.00675  -0.1370   0.0042   0.6448
   4.500   1.0012   0.01362   0.00738  -0.1353   0.0003   0.6456
   5.000   1.0444   0.01420   0.00796  -0.1338   0.0002   0.6464
   5.500   1.0871   0.01482   0.00858  -0.1322   0.0002   0.6471
   6.000   1.1277   0.01554   0.00932  -0.1303   0.0002   0.6478
   6.500   1.1679   0.01629   0.01009  -0.1284   0.0002   0.6485
   7.000   1.2075   0.01707   0.01091  -0.1263   0.0002   0.6490
   7.500   1.2447   0.01798   0.01187  -0.1240   0.0002   0.6495
   8.000   1.2815   0.01894   0.01288  -0.1216   0.0003   0.6500
   8.500   1.3164   0.01999   0.01400  -0.1189   0.0003   0.6504
   9.000   1.3488   0.02121   0.01530  -0.1159   0.0003   0.6507
   9.500   1.3805   0.02250   0.01668  -0.1128   0.0003   0.6509
  10.000   1.4093   0.02396   0.01826  -0.1094   0.0004   0.6531
