  
       XFOIL         Version 6.99
  
 Calculated polar for: ua2-180.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4122   0.00803   0.00248  -0.0964   0.4653   0.0145
  -1.500   0.4687   0.00791   0.00235  -0.0964   0.4623   0.0151
  -1.000   0.5246   0.00779   0.00222  -0.0963   0.4592   0.0159
  -0.500   0.5801   0.00769   0.00211  -0.0961   0.4556   0.0165
   0.000   0.6359   0.00750   0.00192  -0.0960   0.4543   0.0177
   0.500   0.6928   0.00743   0.00188  -0.0962   0.4530   0.0190
   1.000   0.7494   0.00738   0.00185  -0.0964   0.4508   0.0201
   1.500   0.8050   0.00730   0.00177  -0.0964   0.4480   0.0222
   2.000   0.8607   0.00731   0.00178  -0.0965   0.4443   0.0240
   2.500   0.9156   0.00731   0.00178  -0.0964   0.4397   0.0275
   3.000   0.9717   0.00729   0.00179  -0.0967   0.4372   0.0323
   3.500   1.0109   0.00632   0.00196  -0.0939   0.4336   0.5856
   4.000   1.0600   0.00571   0.00224  -0.0928   0.4253   0.9711
   4.500   1.1578   0.00595   0.00245  -0.1024   0.4195   0.9852
   5.000   1.2250   0.00625   0.00267  -0.1053   0.4088   0.9928
   5.500   1.2958   0.00671   0.00299  -0.1093   0.3831   0.9956
   6.000   1.3519   0.00776   0.00373  -0.1107   0.3311   0.9983
   6.500   1.4144   0.00821   0.00410  -0.1131   0.3180   0.9998
   7.000   1.4603   0.00849   0.00437  -0.1117   0.3121   1.0000
   7.500   1.4942   0.00891   0.00475  -0.1079   0.3021   1.0000
   8.000   1.5274   0.00935   0.00516  -0.1041   0.2902   1.0000
   8.500   1.5149   0.01052   0.00612  -0.0917   0.2510   1.0000
   9.000   1.5344   0.01136   0.00692  -0.0861   0.2377   1.0000
   9.500   1.5617   0.01221   0.00776  -0.0823   0.2317   1.0000
  10.000   1.5905   0.01317   0.00874  -0.0793   0.2247   1.0000
