  
       XFOIL         Version 6.99
  
 Calculated polar for: ultimate.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.3767   0.00542   0.00110   0.0395   0.6748   0.3799
  -1.000  -0.2618   0.00523   0.00093   0.0387   0.6171   0.4412
  -0.500  -0.2046   0.00513   0.00087   0.0384   0.5914   0.4762
   0.000  -0.1479   0.00499   0.00082   0.0381   0.5622   0.5275
   0.500  -0.0918   0.00489   0.00079   0.0379   0.5210   0.5905
   1.000  -0.0351   0.00479   0.00079   0.0377   0.4950   0.6439
   1.500   0.0226   0.00478   0.00082   0.0372   0.4724   0.6773
   2.000   0.0806   0.00479   0.00086   0.0367   0.4529   0.7039
   2.500   0.1386   0.00486   0.00092   0.0362   0.4260   0.7279
   3.000   0.1958   0.00504   0.00101   0.0358   0.3778   0.7504
   3.500   0.2516   0.00545   0.00119   0.0355   0.2915   0.7751
   4.000   0.3057   0.00593   0.00144   0.0355   0.2026   0.8051
   4.500   0.3585   0.00638   0.00173   0.0358   0.1293   0.8412
   5.000   0.4091   0.00705   0.00216   0.0366   0.0456   0.8771
   5.500   0.4640   0.00731   0.00243   0.0366   0.0293   0.9080
   6.000   0.5590   0.00765   0.00282   0.0271   0.0199   0.9383
   6.500   0.6773   0.00827   0.00345   0.0123   0.0155   0.9525
   7.000   0.7428   0.00885   0.00405   0.0099   0.0143   0.9913
   7.500   0.8125   0.00950   0.00467   0.0066   0.0116   0.9954
   8.000   0.8843   0.00992   0.00508   0.0027   0.0106   0.9966
   8.500   0.9529   0.01053   0.00568  -0.0006   0.0089   0.9981
   9.000   1.0209   0.01108   0.00626  -0.0036   0.0084   0.9995
   9.500   1.0787   0.01165   0.00686  -0.0044   0.0079   1.0000
  10.000   1.1284   0.01230   0.00753  -0.0035   0.0073   1.0000
