  
       XFOIL         Version 6.99
  
 Calculated polar for: usa27m2.dat                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2738   0.00783   0.00177  -0.0891   0.4348   0.0013
  -1.500   0.3244   0.00787   0.00172  -0.0878   0.4065   0.0013
  -1.000   0.3758   0.00789   0.00168  -0.0867   0.3859   0.0013
  -0.500   0.4265   0.00785   0.00163  -0.0855   0.3678   0.0170
   0.000   0.4791   0.00790   0.00169  -0.0847   0.3565   0.0210
   0.500   0.5320   0.00799   0.00180  -0.0840   0.3445   0.0243
   1.000   0.5836   0.00799   0.00175  -0.0830   0.3343   0.0258
   1.500   0.6363   0.00801   0.00176  -0.0823   0.3259   0.0274
   2.000   0.6882   0.00805   0.00179  -0.0814   0.3177   0.0305
   2.500   0.7356   0.00778   0.00186  -0.0797   0.3086   0.1988
   3.000   0.7787   0.00816   0.00212  -0.0773   0.2580   0.2660
   3.500   0.7971   0.01003   0.00320  -0.0703   0.0859   0.3051
   4.000   0.8339   0.01081   0.00381  -0.0667   0.0014   0.3454
   4.500   0.8790   0.01074   0.00413  -0.0648   0.0015   0.5459
   5.000   0.9170   0.01016   0.00464  -0.0612   0.0018   0.9788
   5.500   0.9743   0.01063   0.00508  -0.0620   0.0022   0.9911
   6.000   1.0432   0.01117   0.00557  -0.0654   0.0032   0.9941
   6.500   1.1060   0.01174   0.00612  -0.0676   0.0036   0.9968
   7.000   1.1635   0.01235   0.00672  -0.0686   0.0038   0.9987
