  
       XFOIL         Version 6.99
  
 Calculated polar for: usa35b.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4073   0.00649   0.00099  -0.0901   0.4937   0.0374
  -1.500   0.4658   0.00633   0.00096  -0.0903   0.4844   0.0772
  -1.000   0.5238   0.00629   0.00096  -0.0905   0.4665   0.1080
  -0.500   0.5813   0.00619   0.00100  -0.0907   0.4436   0.1972
   0.000   0.6383   0.00609   0.00108  -0.0908   0.4166   0.3166
   0.500   0.6945   0.00584   0.00123  -0.0910   0.3879   0.5408
   1.000   0.7474   0.00561   0.00151  -0.0905   0.3392   0.8335
   1.500   0.7973   0.00621   0.00194  -0.0893   0.2381   1.0000
   2.000   0.8442   0.00755   0.00263  -0.0878   0.1112   1.0000
   2.500   0.8914   0.00885   0.00346  -0.0862   0.0008   1.0000
   3.000   0.9466   0.00920   0.00375  -0.0859   0.0007   1.0000
   3.500   1.0014   0.00956   0.00407  -0.0856   0.0008   1.0000
   4.000   1.0557   0.00995   0.00442  -0.0852   0.0008   1.0000
   4.500   1.1094   0.01037   0.00481  -0.0847   0.0009   1.0000
   5.000   1.1625   0.01082   0.00524  -0.0841   0.0011   1.0000
   5.500   1.2148   0.01132   0.00573  -0.0833   0.0012   1.0000
   6.000   1.2660   0.01187   0.00627  -0.0824   0.0014   1.0000
   6.500   1.3168   0.01241   0.00680  -0.0815   0.0019   1.0000
   7.000   1.3662   0.01301   0.00741  -0.0803   0.0022   1.0000
   7.500   1.4154   0.01358   0.00797  -0.0790   0.0029   1.0000
   8.000   1.4612   0.01434   0.00877  -0.0773   0.0030   1.0000
   8.500   1.5030   0.01530   0.00980  -0.0749   0.0030   1.0000
   9.000   1.5416   0.01632   0.01088  -0.0721   0.0029   1.0000
   9.500   1.5686   0.01760   0.01225  -0.0673   0.0027   1.0000
  10.000   1.5860   0.01947   0.01424  -0.0617   0.0023   1.0000
