  
       XFOIL         Version 6.99
  
 Calculated polar for: usa40.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3330   0.00713   0.00133  -0.1176   0.4213   0.0341
  -1.500   0.3907   0.00710   0.00130  -0.1176   0.3935   0.0587
  -1.000   0.4486   0.00709   0.00129  -0.1177   0.3691   0.0836
  -0.500   0.5065   0.00697   0.00128  -0.1178   0.3466   0.1502
   0.000   0.5642   0.00701   0.00134  -0.1179   0.3237   0.1936
   0.500   0.6217   0.00713   0.00143  -0.1179   0.3009   0.2217
   1.000   0.6786   0.00716   0.00156  -0.1180   0.2744   0.3177
   1.500   0.7350   0.00727   0.00174  -0.1180   0.2439   0.4117
   2.000   0.7870   0.00791   0.00218  -0.1173   0.1691   0.4987
   2.500   0.8360   0.00888   0.00292  -0.1161   0.0717   0.6002
   3.000   0.8896   0.00943   0.00340  -0.1155   0.0255   0.6551
   3.500   0.9455   0.00970   0.00368  -0.1152   0.0228   0.6882
   4.000   1.0012   0.00999   0.00397  -0.1149   0.0202   0.7136
   4.500   1.0552   0.01045   0.00436  -0.1144   0.0009   0.7331
   5.000   1.1099   0.01081   0.00471  -0.1140   0.0006   0.7494
   5.500   1.1640   0.01119   0.00510  -0.1135   0.0006   0.7644
   6.000   1.2175   0.01161   0.00552  -0.1129   0.0006   0.7819
   6.500   1.2702   0.01204   0.00597  -0.1123   0.0006   0.8008
   7.000   1.3220   0.01249   0.00648  -0.1114   0.0006   0.8322
   8.000   1.4201   0.01334   0.00762  -0.1088   0.0007   1.0000
   8.500   1.4686   0.01401   0.00829  -0.1075   0.0007   1.0000
   9.000   1.5154   0.01473   0.00902  -0.1060   0.0007   1.0000
   9.500   1.5602   0.01553   0.00983  -0.1042   0.0008   1.0000
  10.000   1.6024   0.01639   0.01072  -0.1020   0.0008   1.0000
