  
       XFOIL         Version 6.99
  
 Calculated polar for: usnps4.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4389   0.00690   0.00153  -0.1335   0.5691   0.0211
  -1.500   0.4932   0.00700   0.00150  -0.1331   0.5266   0.0251
  -1.000   0.5472   0.00715   0.00151  -0.1326   0.4844   0.0306
  -0.500   0.6014   0.00731   0.00154  -0.1323   0.4475   0.0371
   0.000   0.6553   0.00749   0.00161  -0.1318   0.4115   0.0453
   0.500   0.7096   0.00764   0.00168  -0.1315   0.3824   0.0617
   1.000   0.7639   0.00775   0.00179  -0.1313   0.3555   0.1061
   1.500   0.8170   0.00699   0.00205  -0.1315   0.3326   0.6273
   2.000   0.8592   0.00649   0.00231  -0.1283   0.3131   0.9833
   2.500   0.9191   0.00674   0.00245  -0.1294   0.2944   1.0000
   3.000   0.9727   0.00702   0.00262  -0.1290   0.2776   1.0000
   3.500   1.0258   0.00731   0.00281  -0.1285   0.2613   1.0000
   4.000   1.0791   0.00758   0.00300  -0.1281   0.2487   1.0000
   4.500   1.1318   0.00786   0.00321  -0.1276   0.2366   1.0000
   5.000   1.1837   0.00818   0.00346  -0.1270   0.2241   1.0000
   5.500   1.2348   0.00851   0.00372  -0.1262   0.2122   1.0000
   6.000   1.2862   0.00880   0.00398  -0.1254   0.2050   1.0000
   6.500   1.3362   0.00913   0.00427  -0.1245   0.1958   1.0000
   7.000   1.3847   0.00952   0.00460  -0.1232   0.1860   1.0000
   7.500   1.4327   0.00983   0.00492  -0.1218   0.1804   1.0000
   8.000   1.4772   0.01026   0.00531  -0.1197   0.1720   1.0000
   8.500   1.5229   0.01063   0.00570  -0.1179   0.1671   1.0000
   9.000   1.5656   0.01117   0.00619  -0.1156   0.1554   1.0000
   9.500   1.6084   0.01171   0.00670  -0.1135   0.1473   1.0000
  10.000   1.6510   0.01224   0.00723  -0.1113   0.1397   1.0000
