  
       XFOIL         Version 6.99
  
 Calculated polar for: vr1.dat                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0210   0.00618   0.00112  -0.0408   0.7162   0.0190
  -1.500   0.0342   0.00606   0.00098  -0.0405   0.6996   0.0208
  -1.000   0.0889   0.00589   0.00084  -0.0400   0.6786   0.0421
  -0.500   0.1364   0.00504   0.00065  -0.0385   0.6538   0.2817
   0.000   0.1876   0.00471   0.00060  -0.0375   0.6245   0.4064
   0.500   0.2383   0.00444   0.00058  -0.0365   0.5872   0.5382
   1.000   0.2867   0.00448   0.00066  -0.0349   0.5096   0.6447
   1.500   0.3333   0.00489   0.00085  -0.0330   0.3935   0.7110
   2.000   0.3749   0.00562   0.00117  -0.0303   0.2252   0.7799
   2.500   0.4209   0.00623   0.00148  -0.0283   0.1169   0.8187
   3.000   0.4723   0.00649   0.00168  -0.0272   0.0875   0.8493
   3.500   0.5237   0.00668   0.00188  -0.0261   0.0701   0.8819
   4.000   0.5743   0.00692   0.00211  -0.0249   0.0549   0.9107
   4.500   0.6247   0.00719   0.00237  -0.0236   0.0428   0.9365
   5.000   0.6751   0.00752   0.00266  -0.0224   0.0323   0.9582
   5.500   0.7344   0.00785   0.00298  -0.0231   0.0275   0.9765
   6.000   0.8062   0.00828   0.00336  -0.0268   0.0237   0.9849
   6.500   0.8672   0.00870   0.00373  -0.0280   0.0210   0.9920
   7.000   0.9307   0.00915   0.00414  -0.0299   0.0186   0.9959
   7.500   0.9932   0.00958   0.00455  -0.0315   0.0174   0.9984
   8.000   1.0540   0.01006   0.00500  -0.0329   0.0153   0.9998
   8.500   1.0963   0.01054   0.00544  -0.0302   0.0130   1.0000
   9.000   1.1347   0.01109   0.00595  -0.0268   0.0100   1.0000
   9.500   1.1632   0.01242   0.00730  -0.0217   0.0004   1.0000
  10.000   1.2026   0.01307   0.00797  -0.0187   0.0003   1.0000
