  
       XFOIL         Version 6.99
  
 Calculated polar for: vr14.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1342   0.00613   0.00111  -0.0004   0.7133   0.0194
  -1.500  -0.0770   0.00604   0.00097  -0.0005   0.6856   0.0225
  -1.000  -0.0201   0.00602   0.00084  -0.0005   0.6414   0.0256
  -0.500   0.0362   0.00625   0.00076  -0.0006   0.5330   0.0318
   0.000   0.0914   0.00639   0.00073  -0.0006   0.4146   0.0946
   0.500   0.1441   0.00607   0.00073  -0.0004   0.3218   0.3242
   1.000   0.1937   0.00533   0.00073   0.0005   0.2727   0.6546
   1.500   0.2387   0.00460   0.00080   0.0032   0.2409   0.9521
   2.000   0.3178   0.00496   0.00105  -0.0020   0.2103   0.9899
   2.500   0.3899   0.00520   0.00117  -0.0056   0.1887   0.9925
   3.000   0.4605   0.00545   0.00132  -0.0089   0.1697   0.9951
   3.500   0.5277   0.00570   0.00146  -0.0115   0.1519   0.9971
   4.000   0.5915   0.00593   0.00162  -0.0134   0.1373   0.9984
   4.500   0.6543   0.00618   0.00179  -0.0150   0.1231   0.9993
   5.000   0.7158   0.00644   0.00199  -0.0163   0.1113   0.9999
   5.500   0.7708   0.00672   0.00220  -0.0162   0.0993   1.0000
   6.000   0.8231   0.00706   0.00247  -0.0156   0.0848   1.0000
   6.500   0.8746   0.00759   0.00286  -0.0149   0.0597   1.0000
   7.000   0.9255   0.00812   0.00330  -0.0140   0.0451   1.0000
   7.500   0.9762   0.00857   0.00372  -0.0131   0.0364   1.0000
   8.000   1.0256   0.00921   0.00428  -0.0120   0.0236   1.0000
   8.500   1.0750   0.00982   0.00485  -0.0109   0.0166   1.0000
   9.000   1.1237   0.01048   0.00548  -0.0098   0.0110   1.0000
   9.500   1.1712   0.01126   0.00623  -0.0084   0.0055   1.0000
  10.000   1.2157   0.01238   0.00739  -0.0066   0.0005   1.0000
