  
       XFOIL         Version 6.99
  
 Calculated polar for: vr7b.dat                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0343   0.00716   0.00163  -0.0201   0.5522   0.0019
  -1.500   0.0264   0.00704   0.00147  -0.0209   0.5377   0.0017
  -1.000   0.0871   0.00693   0.00134  -0.0218   0.5244   0.0017
  -0.500   0.1479   0.00687   0.00125  -0.0227   0.5071   0.0017
   0.000   0.2086   0.00683   0.00120  -0.0236   0.4904   0.0025
   0.500   0.2697   0.00666   0.00116  -0.0246   0.4746   0.0570
   1.000   0.3326   0.00560   0.00110  -0.0269   0.4593   0.4544
   1.500   0.3942   0.00511   0.00117  -0.0285   0.4416   0.6725
   2.000   0.4551   0.00503   0.00126  -0.0296   0.4217   0.7691
   2.500   0.5158   0.00512   0.00134  -0.0306   0.3995   0.7997
   3.000   0.5761   0.00517   0.00146  -0.0316   0.3812   0.8475
   3.500   0.6355   0.00525   0.00161  -0.0323   0.3660   0.8940
   4.000   0.6947   0.00541   0.00177  -0.0330   0.3500   0.9216
   4.500   0.7550   0.00640   0.00223  -0.0348   0.2320   0.9334
   5.000   0.8150   0.00782   0.00299  -0.0369   0.1007   0.9400
   5.500   0.8716   0.00924   0.00396  -0.0381   0.0002   0.9504
   6.500   0.9851   0.00996   0.00468  -0.0391   0.0001   0.9695
   7.000   1.0430   0.01038   0.00510  -0.0400   0.0001   1.0000
   7.500   1.1006   0.01090   0.00561  -0.0409   0.0002   1.0000
   8.000   1.1574   0.01147   0.00618  -0.0417   0.0002   1.0000
   8.500   1.2134   0.01207   0.00678  -0.0425   0.0003   1.0000
   9.000   1.2685   0.01273   0.00745  -0.0431   0.0003   1.0000
   9.500   1.3221   0.01351   0.00826  -0.0435   0.0004   1.0000
  10.000   1.3741   0.01437   0.00916  -0.0438   0.0005   1.0000
