  
       XFOIL         Version 6.99
  
 Calculated polar for: w1011.dat                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2311   0.00563   0.00082   0.0004   0.5672   0.2584
  -1.500  -0.1734   0.00557   0.00074   0.0003   0.5241   0.2893
  -1.000  -0.1157   0.00553   0.00068   0.0002   0.4813   0.3237
  -0.500  -0.0580   0.00549   0.00064   0.0001   0.4405   0.3613
   0.000  -0.0002   0.00549   0.00063   0.0000   0.4009   0.3995
   0.500   0.0574   0.00549   0.00064  -0.0001   0.3612   0.4406
   1.000   0.1152   0.00551   0.00068  -0.0002   0.3261   0.4823
   1.500   0.1729   0.00558   0.00074  -0.0003   0.2898   0.5227
   2.000   0.2305   0.00564   0.00082  -0.0004   0.2583   0.5666
   2.500   0.2881   0.00572   0.00092  -0.0004   0.2282   0.6108
   3.000   0.3455   0.00583   0.00105  -0.0005   0.1991   0.6538
   3.500   0.4028   0.00597   0.00121  -0.0005   0.1717   0.6987
   4.000   0.4598   0.00612   0.00140  -0.0004   0.1464   0.7478
   4.500   0.5163   0.00621   0.00160  -0.0002   0.1256   0.8153
   5.000   0.5702   0.00628   0.00186   0.0006   0.1051   0.9070
   5.500   0.6212   0.00646   0.00212   0.0022   0.0889   0.9797
   6.500   0.7527   0.00728   0.00277  -0.0016   0.0576   0.9998
   7.000   0.8059   0.00771   0.00313  -0.0008   0.0461   1.0000
   7.500   0.8594   0.00817   0.00354  -0.0000   0.0363   1.0000
   8.000   0.9135   0.00866   0.00398   0.0005   0.0295   1.0000
   8.500   0.9678   0.00917   0.00446   0.0011   0.0246   1.0000
   9.000   1.0221   0.00970   0.00497   0.0016   0.0202   1.0000
   9.500   1.0755   0.01036   0.00560   0.0021   0.0150   1.0000
  10.000   1.1284   0.01107   0.00630   0.0028   0.0110   1.0000
