  
       XFOIL         Version 6.99
  
 Calculated polar for: waspsm.dat                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1184   0.00598   0.00081  -0.0699   0.5946   0.0568
  -1.500   0.1703   0.00592   0.00072  -0.0687   0.5565   0.0861
  -1.000   0.2222   0.00588   0.00067  -0.0675   0.5208   0.1245
  -0.500   0.2737   0.00578   0.00065  -0.0663   0.4885   0.1872
   0.000   0.3250   0.00569   0.00065  -0.0651   0.4566   0.2657
   0.500   0.3762   0.00560   0.00068  -0.0638   0.4285   0.3583
   1.000   0.4265   0.00546   0.00075  -0.0625   0.4018   0.4805
   1.500   0.4775   0.00536   0.00083  -0.0612   0.3793   0.5891
   2.000   0.5234   0.00506   0.00095  -0.0588   0.3571   0.7870
   2.500   0.6729   0.00500   0.00120  -0.0806   0.3227   0.9988
   3.000   0.7375   0.00525   0.00132  -0.0825   0.2965   1.0000
   3.500   0.7905   0.00548   0.00147  -0.0816   0.2753   1.0000
   4.000   0.8431   0.00576   0.00165  -0.0807   0.2520   1.0000
   4.500   0.8957   0.00604   0.00184  -0.0798   0.2311   1.0000
   5.000   0.9460   0.00651   0.00213  -0.0785   0.1916   1.0000
   5.500   0.9960   0.00702   0.00246  -0.0772   0.1556   1.0000
   6.000   1.0474   0.00741   0.00277  -0.0761   0.1361   1.0000
   6.500   1.0975   0.00791   0.00315  -0.0749   0.1109   1.0000
   7.000   1.1449   0.00865   0.00369  -0.0732   0.0749   1.0000
   7.500   1.1892   0.00967   0.00447  -0.0709   0.0342   1.0000
   8.000   1.2365   0.01040   0.00511  -0.0692   0.0197   1.0000
   8.500   1.2846   0.01103   0.00572  -0.0677   0.0139   1.0000
   9.000   1.3322   0.01168   0.00636  -0.0661   0.0105   1.0000
   9.500   1.3786   0.01241   0.00709  -0.0643   0.0082   1.0000
  10.000   1.4255   0.01303   0.00774  -0.0626   0.0077   1.0000
