  
       XFOIL         Version 6.99
  
 Calculated polar for: whitcomb.dat                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.117     Re =     3.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2466   0.00357   0.00078  -0.1364   0.8992   0.4435
  -1.500   0.2884   0.00500   0.00104  -0.1340   0.4545   0.6153
  -1.000   0.3418   0.00568   0.00126  -0.1332   0.3078   0.6348
  -0.500   0.3967   0.00622   0.00144  -0.1326   0.2105   0.6424
   0.000   0.4526   0.00666   0.00166  -0.1322   0.1484   0.6497
   0.500   0.5083   0.00710   0.00191  -0.1317   0.1048   0.6542
   1.000   0.5643   0.00749   0.00216  -0.1311   0.0772   0.6576
   1.500   0.6195   0.00795   0.00250  -0.1304   0.0559   0.6597
   2.000   0.6770   0.00819   0.00266  -0.1303   0.0454   0.6644
   2.500   0.7335   0.00849   0.00292  -0.1298   0.0395   0.6662
   3.000   0.7899   0.00880   0.00318  -0.1294   0.0349   0.6675
   3.500   0.8466   0.00908   0.00342  -0.1290   0.0319   0.6682
   4.000   0.9030   0.00938   0.00369  -0.1286   0.0293   0.6691
   4.500   0.9591   0.00972   0.00399  -0.1281   0.0267   0.6698
   5.000   1.0150   0.01006   0.00430  -0.1275   0.0245   0.6704
   5.500   1.0706   0.01041   0.00464  -0.1269   0.0230   0.6711
   6.000   1.1257   0.01083   0.00503  -0.1261   0.0211   0.6717
   6.500   1.1807   0.01122   0.00542  -0.1253   0.0200   0.6724
   7.000   1.2352   0.01167   0.00585  -0.1245   0.0187   0.6729
   7.500   1.2889   0.01218   0.00637  -0.1234   0.0177   0.6735
   8.000   1.3426   0.01265   0.00685  -0.1223   0.0171   0.6740
   8.500   1.3954   0.01319   0.00740  -0.1211   0.0165   0.6745
   9.000   1.4473   0.01380   0.00803  -0.1197   0.0158   0.6751
   9.500   1.4982   0.01453   0.00879  -0.1181   0.0151   0.6754
  10.000   1.5493   0.01514   0.00944  -0.1165   0.0149   0.6757
