name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e186.dat,-1.5,-0.2469,0.00693,0.00113,0.0418,0.5089,0.0137
naca654421a05.dat,-1.5,0.1444,0.00513,0.00118,-0.0561,0.5759,0.5304
goe648.dat,-1.5,0.2922,0.00801,0.00166,-0.0812,0.3393,0.0024
eh3012.dat,-1.5,,,,,,
naca662215.dat,-1.5,0.0088,0.00414,0.00074,-0.0406,0.7224,0.5681
ag46ct02r.dat,-1.5,0.0018,0.00573,0.00059,-0.0291,0.5796,0.045
naca6412.dat,-1.5,0.4683,0.00626,0.00107,-0.1349,0.5473,0.0817
ag47c03.dat,-1.5,-0.1424,0.006,0.00101,-0.0201,0.6832,0.0071
goe604.dat,-1.5,0.3564,0.00791,0.00179,-0.0789,0.3925,0.0037
usa48.dat,-1.5,0.214,0.00722,0.00133,-0.0822,0.4967,0.0032
ua79sf18.dat,-1.5,0.3874,0.00662,0.00166,-0.1233,0.7219,0.0029
mh95.dat,-1.5,0.0719,0.00479,0.00096,-0.0474,0.5992,0.5269
goe585.dat,-1.5,0.2131,0.00591,0.00073,-0.0758,0.6104,0.0165
s1223rtl.dat,-1.5,1.0309,0.00944,0.00328,-0.2659,0.2843,0.0209
ls417.dat,-1.5,0.3665,0.00456,0.00121,-0.1187,0.6838,0.5867
ht12.dat,-1.5,-0.1604,0.00502,0.00064,-0.0019,0.765,0.1676
ag03.dat,-1.5,0.0329,0.00587,0.00074,-0.034,0.6332,0.004
ah79100a.dat,-1.5,0.324,0.00468,0.00048,-0.1169,0.6752,0.2488
hq209.dat,-1.5,0.1171,0.00566,0.00061,-0.0611,0.6937,0.0015
rhodesg34.dat,-1.5,0.5219,0.00802,0.00173,-0.0846,0.2852,0.0635
rcsc2.dat,-1.5,-0.0648,0.0053,0.00093,-0.0265,0.8595,0.1152
rg12.dat,-1.5,0.0547,0.00478,0.00054,-0.0491,0.6829,0.2976
hsnlf213.dat,-1.5,,,,,,
waspsm.dat,-1.5,0.1703,0.00592,0.00072,-0.0687,0.5565,0.0861
e583.dat,-1.5,0.3826,0.00598,0.00123,-0.1064,0.5855,0.2147
rae5214.dat,-1.5,0.0675,0.00559,0.00078,-0.0546,0.6695,0.0879
arad20.dat,-1.5,0.1782,0.00842,0.00287,-0.0341,0.3414,0.2898
e342.dat,-1.5,0.038,0.00781,0.00163,-0.0023,0.3774,0.0049
sc20712.dat,-1.5,0.3869,0.00531,0.00138,-0.1301,0.5205,0.5856
giiik.dat,-1.5,-0.027,0.00595,0.00097,-0.0195,0.6938,0.024
goe802.dat,-1.5,0.4719,0.00684,0.00149,-0.123,0.5233,0.0032
goe422.dat,-1.5,0.5819,0.00735,0.00176,-0.147,0.494,0.0424
amsoil1.dat,-1.5,0.0609,0.00602,0.0011,-0.0485,0.6914,0.0713
mh84.dat,-1.5,0.2913,0.00696,0.00128,-0.0705,0.3481,0.0616
fx78k150.dat,-1.5,0.2631,0.00571,0.00101,-0.0864,0.6467,0.1781
fx63137.dat,-1.5,0.7523,0.00751,0.0017,-0.2078,0.4155,0.0192
raf32md.dat,-1.5,0.3534,0.00562,0.00069,-0.1221,0.6947,0.0034
goe322.dat,-1.5,0.4011,0.00721,0.0016,-0.0907,0.4864,0.0035
mh108.dat,-1.5,-0.1707,0.00607,0.00083,0.0173,0.3852,0.278
s8023.dat,-1.5,-0.1704,0.00601,0.00061,-0.0009,0.4099,0.1653
raf25.dat,-1.5,-0.022,0.00541,0.00055,-0.034,0.7858,0.0038
naca643418.dat,-1.5,0.1795,0.00508,0.00094,-0.0775,0.5445,0.4872
sg6051.dat,-1.5,0.1976,0.00582,0.00118,-0.079,0.6931,0.1771
goe288.dat,-1.5,0.504,0.00709,0.00163,-0.1391,0.4587,0.1291
n64110.dat,-1.5,-0.0779,0.00565,0.00073,-0.0198,0.6734,0.1104
