name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
naca671215.dat,7.5,0.7187,0.01098,0.00558,0.011,0.024,0.828
gs1.dat,7.5,1.191,0.012,0.00648,-0.0798,0.0012,1.0
ag24.dat,7.5,1.1288,0.01008,0.00499,-0.0636,0.0043,1.0
naca001034a08cli0.2.dat,7.5,0.9658,0.01264,0.00829,-0.0379,0.0016,1.0
mh43.dat,7.5,0.9738,0.00985,0.00511,-0.0229,0.0011,1.0
rg149.dat,7.5,,,,,,
goe229.dat,7.5,,,,,,
e195.dat,7.5,1.128,0.01067,0.00538,-0.0627,0.0052,1.0
wb140.dat,7.5,1.2067,0.01426,0.00707,-0.0817,0.0089,0.1458
hq258.dat,7.5,,,,,,
fxm2.dat,7.5,1.4044,0.01192,0.00549,-0.0949,0.0387,0.4883
goe217.dat,7.5,1.6981,0.01689,0.01002,-0.1692,0.0387,0.473
fxs03182.dat,7.5,1.0644,0.01523,0.00907,-0.0761,0.002,0.6265
fx73k170.dat,7.5,1.2692,0.0109,0.00603,-0.1121,0.2685,0.6443
ah93w215.dat,7.5,1.0475,0.00724,0.00317,-0.0392,0.3487,0.7653
goe410.dat,7.5,0.8352,0.01063,0.00492,0.0065,0.0008,0.6873
e662.dat,7.5,1.1258,0.0155,0.00955,-0.0884,0.0031,0.8024
s1221.dat,7.5,1.6454,0.00912,0.00422,-0.1875,0.2127,0.793
ah79100c.dat,7.5,1.4625,0.01474,0.00885,-0.1623,0.0067,1.0
e542.dat,7.5,0.9536,0.00888,0.00393,-0.0232,0.1577,0.7678
naca663418.dat,7.5,0.8633,0.01466,0.00891,-0.0312,0.0268,0.7323
defcnd2.dat,7.5,1.1303,0.01185,0.00632,-0.0524,0.0013,1.0
ag46ct02r.dat,7.5,1.0034,0.00892,0.00415,-0.0261,0.0107,1.0
ag47ct02r.dat,7.5,0.9622,0.00905,0.00448,-0.0185,0.0075,1.0
df101.dat,7.5,1.0765,0.00905,0.00412,-0.0487,0.0546,1.0
s3024.dat,7.5,1.1624,0.01062,0.00527,-0.0673,0.0064,1.0
fg2.dat,7.5,1.227,0.01111,0.00586,-0.07,0.0041,1.0
c141d.dat,7.5,1.0386,0.00962,0.0045,-0.0477,0.0265,0.9998
sd7062.dat,7.5,1.3085,0.00841,0.00392,-0.0841,0.1876,1.0
rc08b3.dat,7.5,0.8935,0.00963,0.00477,-0.0067,0.0008,0.9954
n64008a.dat,7.5,,,,,,
goe612.dat,7.5,,,,,,
fx66s196.dat,7.5,1.2423,0.01,0.00475,-0.0953,0.2462,0.536
e228.dat,7.5,0.8423,0.00922,0.00457,0.0044,0.0031,0.9976
goe269.dat,7.5,,,,,,
e591.dat,7.5,1.7333,0.0107,0.00573,-0.1923,0.2334,0.8096
mh42.dat,7.5,0.9888,0.00926,0.00435,-0.0252,0.0071,1.0
e422.dat,7.5,1.5439,0.00759,0.00363,-0.124,0.3244,1.0
hq2512.dat,7.5,1.1193,0.01144,0.00595,-0.0634,0.0018,0.8496
hq2511.dat,7.5,1.1378,0.01053,0.00528,-0.0677,0.0067,1.0
s7075.dat,7.5,1.2011,0.01001,0.00478,-0.0829,0.0238,1.0
goe344.dat,7.5,,,,,,
hq17.dat,7.5,1.0181,0.01652,0.01076,-0.0645,0.0021,0.8278
goe645.dat,7.5,1.2463,0.01288,0.00731,-0.0721,0.0019,1.0
ah7476.dat,7.5,,,,,,
ames01.dat,7.5,0.9417,0.00802,0.0034,-0.0074,0.0896,1.0
e423.dat,7.5,,,,,,
goe738.dat,7.5,0.9382,0.01088,0.00579,0.0009,0.0014,0.9929
goe531.dat,7.5,1.5602,0.02419,0.01951,-0.2046,0.4715,0.0782
m6.dat,7.5,0.9131,0.01034,0.00529,0.0007,0.0027,0.9923
s9033.dat,7.5,0.8383,0.00848,0.00398,0.0048,0.0124,1.0
goe532.dat,7.5,1.3181,0.0124,0.00676,-0.0835,0.0007,1.0
hobie.dat,7.5,,,,,,
goe525.dat,7.5,1.692,0.02856,0.02181,-0.2116,0.0011,0.5767
fx75193.dat,7.5,0.9529,0.01946,0.01361,-0.067,0.0452,0.6761
ls421mod.dat,7.5,1.4401,0.01212,0.00647,-0.1092,0.1306,0.6837
e682.dat,7.5,0.9173,0.01332,0.0077,-0.0276,0.0015,0.8428
s8035.dat,7.5,0.7976,0.00785,0.00333,0.012,0.0753,0.9596
isa962.dat,7.5,,,,,,
wb13535sm.dat,7.5,,,,,,
e325.dat,7.5,0.7697,0.00672,0.00245,0.0492,0.1814,0.8633
n9.dat,7.5,1.2639,0.01154,0.00636,-0.0613,0.0059,1.0
rhodesg36.dat,7.5,1.5112,0.01141,0.00702,-0.0807,0.2202,1.0
e433.dat,7.5,1.269,0.01039,0.00536,-0.1071,0.1715,0.7857
usa45.dat,7.5,,,,,,
naca65210.dat,7.5,0.9849,0.01046,0.00567,-0.0397,0.0088,0.8932
naca633018.dat,7.5,0.8531,0.00974,0.00421,-0.0054,0.0564,0.6587
ah93156.dat,7.5,1.1102,0.00892,0.00464,-0.0558,0.2581,0.8795
e360.dat,7.5,0.9142,0.00828,0.00348,-0.001,0.0774,0.9059
goe613.dat,7.5,,,,,,
fx77w270.dat,7.5,1.4707,0.01488,0.00915,-0.1052,0.2008,0.6381
naca1410.dat,7.5,0.9579,0.00904,0.00421,-0.0249,0.0239,1.0
fx83w227.dat,7.5,0.9029,0.00879,0.00477,-0.0199,0.3698,0.7796
giiik.dat,7.5,0.9554,0.00954,0.00446,-0.0153,0.0007,1.0
ssca09.dat,7.5,,,,,,
fx69h098.dat,7.5,1.0161,0.01013,0.00502,-0.0271,0.0012,1.0
ah21-7.dat,7.5,1.1189,0.00989,0.0048,-0.0722,0.0187,1.0
goe336.dat,7.5,,,,,,
ah83150q.dat,7.5,1.2506,0.00902,0.0044,-0.0755,0.2192,0.8271
sc1012r8.dat,7.5,1.1116,0.0091,0.00417,-0.0284,0.083,1.0
hq3518.dat,7.5,1.0418,0.01472,0.00852,-0.0535,0.0004,0.6751
ah63k127.dat,7.5,1.1734,0.01151,0.00604,-0.0821,0.024,0.867
e58.dat,7.5,,,,,,
goe418.dat,7.5,,,,,,
naca16012.dat,7.5,0.7047,0.0091,0.0042,0.0232,0.0085,0.9512
giiin.dat,7.5,0.9771,0.00832,0.00351,-0.0068,0.047,1.0
naca633418.dat,7.5,1.1792,0.01043,0.00492,-0.0781,0.1103,0.6542
s1016.dat,7.5,0.7037,0.00956,0.00456,0.0221,0.1028,0.7884
s1223rtl.dat,7.5,1.9989,0.01341,0.00799,-0.2525,0.2313,0.6115
ls417mod.dat,7.5,1.369,0.00992,0.00465,-0.1053,0.173,0.6899
hq3514.dat,7.5,1.1876,0.01261,0.00654,-0.0795,0.0008,0.7298
mh45.dat,7.5,0.9487,0.00805,0.00347,-0.0069,0.0573,1.0
ah81131.dat,7.5,0.9752,0.01245,0.00739,-0.0208,0.0024,0.993
e176.dat,7.5,1.1248,0.01139,0.00651,-0.0574,0.0028,1.0
fx60157.dat,7.5,1.2008,0.01349,0.0073,-0.0979,0.0001,0.705
goe682.dat,7.5,,,,,,
sc20714.dat,7.5,1.4293,0.01322,0.00712,-0.1365,0.0259,0.6507
ah93k130.dat,7.5,,,,,,
ah95160.dat,7.5,1.5042,0.00922,0.00504,-0.1405,0.2886,1.0047
goe284.dat,7.5,1.2675,0.01444,0.00869,-0.0793,0.0006,1.0
ys915.dat,7.5,,,,,,
hq300gd2.dat,7.5,1.4786,0.01035,0.00537,-0.1361,0.1994,0.7865
nl722343.dat,7.5,1.0232,0.01025,0.00455,-0.0406,0.0116,0.695
giiie.dat,7.5,,,,,,
goe303.dat,7.5,,,,,,
e344.dat,7.5,1.1708,0.007,0.00299,-0.0351,0.2921,0.9074
e387.dat,7.5,1.2007,0.01101,0.00584,-0.0755,0.0048,1.0
e551.dat,7.5,1.2276,0.00942,0.00413,-0.0936,0.2068,0.5449
e338.dat,7.5,1.0693,0.00693,0.00283,-0.0144,0.2521,0.9178
goe500.dat,7.5,,,,,,
usa29.dat,7.5,0.915,0.01452,0.00794,-0.0181,0.0006,0.3584
goe147.dat,7.5,,,,,,
e209.dat,7.5,1.0678,0.00899,0.00418,-0.0497,0.0716,1.0
naca001264a08cli0.2.dat,7.5,0.9028,0.0097,0.00478,-0.0069,0.0267,0.987
naca642415.dat,7.5,1.1604,0.01133,0.00553,-0.0781,0.0224,0.7231
oaf139.dat,7.5,0.7424,0.00894,0.00402,0.032,0.0578,0.7815
nn7mk20.dat,7.5,1.2247,0.01008,0.0047,-0.0943,0.1607,0.6383
m24.dat,7.5,1.1189,0.01252,0.00715,-0.0205,0.0022,0.9912
goe675.dat,7.5,1.3468,0.01569,0.00978,-0.1127,0.0003,1.0
naca651212.dat,7.5,0.9814,0.01071,0.00554,-0.0394,0.0102,0.8176
ag03.dat,7.5,1.0296,0.00901,0.00416,-0.0318,0.0125,1.0
as5048.dat,7.5,1.0994,0.00991,0.00441,-0.0597,0.1295,0.6595
s3021.dat,7.5,1.0996,0.0102,0.00502,-0.0491,0.0041,1.0
goe408.dat,7.5,,,,,,
rg12a.dat,7.5,1.0682,0.00999,0.0051,-0.0502,0.0082,1.0
goe426.dat,7.5,,,,,,
nlf414f.dat,7.5,1.115,0.01347,0.00775,-0.0759,0.0246,0.7539
dbln526.dat,7.5,,,,,,
waspsm.dat,7.5,1.1892,0.00967,0.00447,-0.0709,0.0342,1.0
tempest1.dat,7.5,0.7828,0.00866,0.00397,0.0111,0.0691,0.9714
naca23018.dat,7.5,0.9807,0.00839,0.00379,-0.0032,0.1508,0.9165
naca001234.dat,7.5,0.774,0.00997,0.00534,0.0077,0.0032,0.9604
npl9627.dat,7.5,0.9384,0.00871,0.00385,-0.0132,0.0487,0.9962
e1210.dat,7.5,1.4022,0.0084,0.00403,-0.089,0.2236,1.0
esa40.dat,7.5,0.8086,0.00773,0.00341,0.0526,0.1073,0.9629
hq09.dat,7.5,,,,,,
goe182.dat,7.5,,,,,,
m12.dat,7.5,,,,,,
fx61147.dat,7.5,1.3654,0.01343,0.00723,-0.1225,0.0003,0.6938
n22.dat,7.5,1.4684,0.01137,0.00621,-0.0904,0.0829,1.0001
n1h15.dat,7.5,1.025,0.02589,0.02073,-0.0598,0.0013,1.0
k2.dat,7.5,1.0098,0.01161,0.00639,-0.0762,0.0058,0.7731
